,first,second,jaccard_coeff,overlap_coeff,jaccard_genre_sim
1488,80,17170,0.363636374,0.666666687,0.00331785
1504,35,7087,0.0,0.0,0.002457002
1505,35,8957,0.022727273,0.166666672,0.004878049
1520,14,4328,0.228915662,0.404255331,0.056268509
1584,90,11260,0.075757578,0.166666672,0.006313131
1648,800,6647,0.07692308,0.25,0.0
5056,95,8607,0.0,0.0,0.002805836
11005,364,10355,0.006493506,0.25,0.003112033
11038,325,11113,0.0625,0.400000006,0.008138904
11072,88,11657,0.11210762,0.510204077,0.007761966
11088,364,13806,0.03846154,0.545454562,0.006217617
11120,395,11209,0.140000001,0.45161289,0.002994012
11136,496,14838,0.035856575,0.5625,0.010174419
11152,240,18216,0.045643155,0.366666675,0.006423983
11184,32,1703,0.1875,0.363636374,0.002522068
11216,84,16977,0.007194245,0.400000006,0.002344666
11280,44,19621,0.816901386,0.983050823,0.012711864
11296,167,5345,0.137096778,0.607142866,0.005044136
11312,301,8293,0.134615391,0.291666657,0.003636364
11328,364,4117,0.006451613,0.200000003,0.006724304
11344,613,4909,0.109090909,0.235294119,0.005235602
11360,99,20778,0.272727281,0.46875,0.0
11392,426,12247,0.040540539,0.088235296,0.002207506
11424,32,9986,0.229729727,0.395348847,0.007042253
11440,246,7646,0.103448279,0.5,0.004431315
11536,364,6699,0.025806451,0.5,0.004690432
11552,770,16470,0.358208954,0.539325833,0.004454343
11632,729,7319,0.048192769,0.235294119,0.000431779
11648,942,4775,0.022727273,0.06666667,0.001941748
11680,767,4579,0.209876537,0.377777785,0.00863132
11712,808,13190,0.191489369,0.333333343,0.0
11760,961,679,0.130434781,0.455696195,0.016453382
11808,325,544,0.033898305,0.666666687,0.023771791
11824,697,21375,0.105882354,0.5625,0.000974659
11840,346,859,0.239999995,0.5,0.003663004
11920,308,18819,0.009389671,0.125,0.045454547
11952,99,8574,0.363636374,0.571428597,0.056628056
11953,99,8663,0.20408164,0.370370358,0.018456375
11968,710,6802,0.566666663,0.931506872,0.034615386
11984,437,13578,0.842105269,0.941176474,0.00996016
12000,961,17402,0.24585636,0.408256888,0.015643803
12016,109,16749,0.25,0.419354826,0.000825764
