,first,second,jaccard_coeff,overlap_coeff,jaccard_genre_sim
6432,454,20922,0.0,0.0,0.005032351
8656,588,20491,0.0,0.0,0.00982801
9616,999,23942,0.0,0.0,0.012987013
10128,325,17034,0.0,0.0,0.0
10480,2,14276,0.0,0.0,0.010492332
10512,108,11345,0.0,0.0,0.00524109
10543,1292,8349,0.057142857,0.142857149,0.009419153
11054,569,2646,0.039473683,0.09375,0.017946877
11248,569,13186,0.078125,0.227272734,0.043725155
11376,2001,17742,0.018867925,0.090909094,0.048442908
11984,814,14838,0.043478262,0.100000001,0.031990521
12128,32,14828,0.090909094,0.222222224,0.006447453
12384,1141,12014,0.0,0.0,0.002439024
12496,969,13180,0.035714287,0.166666672,0.01953125
12560,368,2182,0.0,0.0,0.012416428
12576,1392,10662,0.0,0.0,0.014204546
12608,98,16328,0.111111112,0.800000012,0.025641026
12800,523,15084,0.0,0.0,0.009259259
12801,525,6342,0.055555556,0.200000003,0.005591054
12976,1043,22265,0.034482758,0.071428575,0.017733989
13056,620,22340,0.166666672,0.666666687,0.008853475
13104,251,17782,0.148148149,0.888888896,0.01577287
13120,1015,19536,0.039215688,0.090909094,0.006802721
13136,877,9465,0.03846154,0.200000003,0.026530612
13168,334,705,0.117647059,0.260869563,0.019505851
13184,832,2373,0.0,0.0,0.009146341
13216,1770,806,0.078947365,0.25,0.007286755
13248,635,23143,0.00862069,0.043478262,0.010510511
13280,278,22968,0.050000001,0.142857149,0.007539411
13328,220,8956,0.032786883,0.090909094,0.002842928
13344,1,22630,0.055555556,0.217391297,0.055070516
13440,0,25564,0.018867925,0.142857149,0.004429679
13504,911,106,0.090909094,0.1875,0.005471956
13552,1,6163,0.03846154,0.333333343,0.035125449
13600,1088,9859,0.0,0.0,0.009615385
13601,1090,21831,0.0,0.0,0.032731377
13616,5,4081,0.015625,0.033333335,0.018518519
13712,365,5782,0.0,0.0,0.007481297
13728,808,17941,0.116666667,0.241379306,0.024329383
