,first,second,jaccard_coeff,overlap_coeff,jaccard_genre_sim
1680,650,14921,0.023255814,0.100000001,0.004819277
1696,744,10876,0.019607844,0.200000003,0.004338395
1712,765,26956,0.018404908,0.157894731,0.00877193
1728,86,19253,0.004132231,0.111111112,0.007575758
1744,88,24040,0.011494253,0.022727273,0.023193577
1760,49,5552,0.0,0.0,0.014687883
1776,73,5072,0.002336449,0.150000006,0.007741936
1792,337,19253,0.013268156,0.404255331,0.0
1808,437,26700,0.0,0.0,0.003188098
1824,73,3620,0.001547988,0.074074075,0.002816901
1825,73,4136,0.0,0.0,0.008152174
10944,73,23416,0.0,0.0,0.010368664
10976,88,2035,0.016666668,0.045454547,0.00273224
10977,88,2080,0.142857149,0.321428567,0.008695652
10992,61,11051,0.00318218,0.190476194,0.003941441
11040,73,19253,0.040919721,0.082872927,0.005050505
11056,73,10289,0.015197569,0.289855063,0.005235602
11072,955,11922,0.0,0.0,0.004739337
11088,650,10830,0.00493421,0.075000003,0.004672897
11104,42,11051,0.010928961,0.25454545,0.004115226
11120,73,24459,0.001566171,0.166666672,0.004310345
11136,280,16765,0.0,0.0,0.011600928
11152,73,17264,0.0,0.0,0.007889546
11168,73,18397,0.000786163,0.166666672,0.055
11184,94,7473,0.042944785,0.269230783,0.00128866
11200,73,2590,0.01002313,0.302325577,0.00622665
11216,98,1686,0.044776119,0.130434781,0.024856597
11232,675,17649,0.0,0.0,0.002923977
11248,16,13638,0.0,0.0,0.012275732
11264,506,20321,0.009615385,0.05882353,0.018159807
11280,10,4708,0.012195121,0.05882353,0.00342131
11296,426,13554,0.05882353,0.125,0.002118644
11312,73,8099,0.0,0.0,0.006877579
11328,1075,15916,0.0546875,0.200000003,0.034722224
11344,174,5362,0.0,0.0,0.007716591
11360,178,14242,0.001012146,0.142857149,0.0
11376,246,13728,0.011627907,0.111111112,0.001492537
11392,1000,2778,0.011764706,0.034482758,0.003327787
11408,73,1772,0.001563722,0.142857149,0.009421265
11424,162,11288,0.0,0.0,0.002659574
11440,94,10347,0.029045643,0.067307696,0.00147929
11456,15,19253,0.007795889,0.611111104,0.011164274
11472,552,13638,0.001612253,0.235294119,0.0
11488,531,27907,0.0,0.0,0.0
11504,1051,17420,0.0,0.0,0.077181205
11520,848,27749,0.069444448,0.289855063,0.005836576
11552,364,8054,0.012903226,0.083333336,0.002173913
11616,836,23329,0.018518519,0.100000001,0.02
11632,159,16524,0.005494506,0.0125,0.00140647
11648,974,20535,0.004643963,0.071428575,0.0
11696,73,14274,0.000783699,0.100000001,0.007614213
11744,945,27911,0.043478262,0.400000006,0.010443864
11856,73,13342,0.000786782,0.200000003,0.00130719
11888,87,13638,0.002413516,0.25,0.00631579
11920,315,8357,0.0,0.0,0.0
11952,393,21375,0.019607844,0.113924049,0.008163265
11968,308,12231,0.02238806,0.054545455,0.018867925
11984,73,25821,0.0,0.0,0.009602195
12000,73,27529,0.0,0.0,0.103191487
13005,218,27202,0.057971016,0.114285715,0.007418398
14144,73,14801,0.000784929,0.125,0.003846154
14240,593,14879,0.037037037,0.090909094,0.007987221
14464,108,20322,0.025641026,0.05882353,0.00035137
14496,494,23563,0.005221932,0.15384616,0.003225806
14497,494,24130,0.025641026,0.161764711,0.0
14512,433,23332,0.027777778,0.181818187,0.003102378
14560,1004,1526,0.005434783,0.142857149,0.047557842
14592,194,11723,0.028169014,0.079999998,0.002857143
14608,864,2442,0.012987013,0.125,0.006013746
14640,417,6616,0.08219178,0.75,0.005479452
14669,661,4468,0.0,0.0,0.0078125
14672,1024,5085,0.0,0.0,0.003100775
14688,73,17947,0.000786163,0.166666672,0.004149378
14720,814,1405,0.0,0.0,0.029320987
14721,814,2409,0.046511628,0.111111112,0.026533997
14784,42,14502,0.05882353,0.113207549,0.0
14785,42,14558,0.043478262,0.127272725,0.016883744
14848,729,11662,0.200000003,0.5,0.009177973
14849,729,12596,0.083333336,0.25,0.001297017
