,source,target
0,3159,308
1,3159,1603
2,3159,1269
3,3159,861
4,3159,2484
5,3159,861
6,3159,920
7,3159,224
8,3159,3097
9,3159,329
10,3159,588
11,3159,1108
12,3159,257
13,3159,502
14,3159,139
15,3159,3054
16,3159,2168
17,3159,2902
18,3159,803
19,3159,1796
20,3159,436
21,3159,2153
22,3159,1213
23,3159,1525
24,3159,751
25,3032,2605
26,3032,619
27,3032,1371
28,3032,861
29,3032,1311
30,3032,1281
31,3032,2814
32,3032,119
33,3032,1644
34,3032,1850
35,3032,588
36,3032,257
37,3032,1796
38,3032,318
39,3032,276
40,3032,2424
41,3032,2737
42,3032,1213
43,3032,2184
44,3032,751
45,5397,2554
46,5397,3152
47,5397,482
48,5397,2323
49,5397,725
50,5397,48
51,5397,920
52,5397,224
53,5397,2798
54,5397,606
55,5397,2424
56,5397,2645
57,5397,2362
58,5397,2737
59,4032,1554
60,4032,216
61,4032,1937
62,4032,653
63,4032,2243
64,4032,48
65,4032,920
66,4032,224
67,4032,3097
68,4032,1025
69,4032,1108
70,4032,635
71,4032,1559
72,4032,3054
73,4032,803
74,4032,276
75,4032,436
76,4032,502
77,3945,1121
78,3945,221
79,3945,2346
80,3945,846
81,3945,3103
82,3945,846
83,3945,920
84,3945,224
85,3945,3097
86,3945,1889
87,3945,635
88,3945,1699
89,3945,1447
90,3945,719
91,3945,3014
92,3945,751
93,3945,841
94,949,670
95,949,226
96,949,3042
97,949,653
98,949,2668
99,949,48
100,949,920
101,949,224
102,949,3097
103,949,2510
104,949,1013
105,949,1164
106,949,276
107,949,2764
108,5137,1948
109,5137,1565
110,5137,2801
111,5137,861
112,5137,2845
113,5137,2003
114,5137,2814
115,5137,119
116,5137,1644
117,5137,2753
118,5137,1013
119,5137,276
120,5137,2737
121,5137,2764
122,5137,2424
123,9392,89
124,9392,2770
125,9392,1937
126,9392,2968
127,9392,653
128,9392,2243
129,9392,48
130,9392,920
131,9392,224
132,9392,3097
133,9392,706
134,9392,1108
135,9392,2645
136,9392,2737
137,9392,717
138,9392,2912
139,9392,3054
140,9392,569
141,9392,2362
142,9392,2424
143,9392,1525
144,9392,1195
145,9392,83
146,9392,2061
147,9392,803
148,9392,2735
149,9392,276
150,9392,502
151,9392,2549
152,9392,2524
153,9392,2501
154,9392,436
155,9392,821
156,400,3152
157,400,653
158,400,359
159,400,846
160,400,920
161,400,224
162,400,3097
163,400,2510
164,400,2534
165,400,2936
166,400,569
167,400,2384
168,400,1147
169,400,440
170,400,3044
171,400,69
172,400,1876
173,1803,1640
174,1803,619
175,1803,2255
176,1803,324
177,1803,861
178,1803,1974
179,1803,1085
180,1803,920
181,1803,1907
182,1803,2185
183,1803,2986
184,1803,139
185,1803,2168
186,1803,855
187,1803,853
188,1803,2362
189,1803,3161
190,1803,704
191,1803,1431
192,1803,3019
193,1803,1525
194,1803,440
195,2468,1948
196,2468,3152
197,2468,897
198,2468,861
199,2468,2484
200,2468,653
201,2468,920
202,2468,224
203,2468,3097
204,2468,400
205,2468,2936
206,2468,569
207,2468,2362
208,2468,768
209,2468,1525
210,2468,2661
211,289,1550
212,289,2770
213,289,2121
214,289,2323
215,289,2004
216,289,2928
217,289,920
218,289,1907
219,289,1612
220,289,2327
221,289,588
222,289,2524
223,289,2549
224,289,635
225,289,83
226,289,1796
227,289,276
228,289,2501
229,289,2424
230,289,2737
231,289,1213
232,289,1147
233,5687,2846
234,5687,2446
235,5687,2223
236,5687,846
237,5687,2787
238,5687,2330
239,5687,2814
240,5687,119
241,5687,451
242,5687,124
243,5687,2990
244,5687,326
245,5687,2015
246,5687,1013
247,5687,928
248,5687,1231
249,5687,859
250,5687,1228
251,5687,383
252,5687,584
253,5687,1147
254,5687,1570
255,5687,822
256,5687,1548
257,5687,2728
258,5687,2676
259,5687,2238
260,5687,1481
261,5687,1656
262,5687,739
263,5687,2023
264,5687,1606
265,5687,2960
266,5687,257
267,5687,3032
268,5687,569
269,5687,2764
270,5687,2362
271,5687,318
272,5687,1245
273,5687,1113
274,5687,1562
275,5687,946
276,5687,1525
277,5687,2184
278,5687,2130
279,5687,841
280,5687,2732
281,5687,1195
282,5687,2534
283,5687,2709
284,5687,139
285,5687,1856
286,5687,276
287,5687,2194
288,5687,1839
289,5687,1854
290,5687,440
291,5687,966
292,5687,1764
293,5687,2502
294,5687,1447
295,5687,675
296,5687,750
297,5687,2384
298,5687,608
299,5687,3112
300,5687,719
301,5687,2638
302,5687,768
303,5687,3108
304,5687,3088
305,5687,3019
306,5687,3057
307,8815,2352
308,8815,433
309,8815,964
310,8815,861
311,8815,2484
312,8815,48
313,8815,920
314,8815,224
315,8815,3097
316,8815,2510
317,8815,635
318,8815,486
319,8815,3044
320,8815,2502
321,2811,515
322,2811,1943
323,2811,2927
324,2811,653
325,2811,1093
326,2811,48
327,2811,920
328,2811,224
329,2811,3097
330,2811,706
331,2811,1108
332,2811,3054
333,2811,803
334,2811,859
335,2811,828
336,2811,1570
337,2811,276
338,2811,2645
339,2811,2424
340,2811,436
341,2811,2737
342,2811,3051
343,2811,502
344,2811,3044
345,1689,839
346,1689,378
347,1689,1036
348,1689,861
349,1689,2484
350,1689,48
351,1689,920
352,1689,224
353,1689,3097
354,1689,706
355,1689,1108
356,1689,3054
357,1689,569
358,1689,803
359,1689,436
360,1689,2424
361,1689,2737
362,1689,502
363,1689,2178
364,6077,454
365,6077,1618
366,6077,2334
367,6077,653
368,6077,1403
369,6077,2003
370,6077,920
371,6077,1907
372,6077,2185
373,6077,2538
374,6077,588
375,6077,257
376,6077,2168
377,6077,2362
378,6077,3051
379,6077,1796
380,6077,3044
381,6077,2442
382,6077,2153
383,6077,1213
384,6077,1147
385,6077,763
386,3324,2069
387,3324,2918
388,3324,861
389,3324,213
390,3324,2063
391,3324,920
392,3324,224
393,3324,3097
394,3324,706
395,3324,588
396,3324,2524
397,3324,2549
398,3324,257
399,3324,83
400,3324,928
401,3324,2362
402,3324,1796
403,3324,276
404,3324,2501
405,3324,1213
406,3324,1028
407,3324,1147
408,8514,670
409,8514,2770
410,8514,2984
411,8514,861
412,8514,468
413,8514,1085
414,8514,920
415,8514,224
416,8514,3097
417,8514,400
418,8514,2549
419,8514,2524
420,8514,83
421,8514,2501
422,8514,2424
423,8514,2737
424,8514,2409
425,8514,2661
426,424,2248
427,424,1417
428,424,2085
429,424,2141
430,424,2323
431,424,2610
432,424,48
433,424,920
434,424,1144
435,424,1761
