,first,second,jaccard_coeff,overlap_coeff,jaccard_genre_sim
1568,172,6733,0.0,0.0,0.003030303
1584,220,7712,0.037037037,0.208333328,0.005571031
1600,35,6220,0.06849315,0.277777791,0.007715133
1616,301,8769,0.025714286,0.409090906,0.012642225
6912,181,2359,0.022727273,0.166666672,0.033562824
7872,278,9320,0.038961038,0.083333336,0.006224066
8464,414,9490,0.02739726,0.06666667,0.000530223
9184,87,2816,0.011021308,0.348837197,0.016564952
9185,87,4732,0.024390243,0.048780486,0.015151516
9186,87,5388,0.021032505,0.255813956,0.000613497
9616,204,9285,0.06122449,0.130434781,0.003726708
9696,114,7159,0.021052632,0.078431375,0.004535147
9776,82,6220,0.06223176,0.483333319,0.007125891
9777,82,6539,0.029459901,0.092783503,0.007290401
9872,76,2552,0.016129032,0.05882353,0.020255864
9873,76,2733,0.053968254,0.369565219,0.021621622
10592,343,6497,0.003773585,0.25,0.0
10608,225,1095,0.028776979,0.210526317,0.019018134
10624,177,7602,0.087719299,0.20408164,0.0
10640,266,2130,0.018181818,0.041666668,0.004360465
10656,304,9078,0.00729927,0.015384615,0.028169014
10688,150,3242,0.0,0.0,0.007952286
10704,50,3234,0.002028398,0.166666672,0.003496503
10720,188,8911,0.088957056,0.27619049,0.005865103
10736,278,4918,0.038167939,0.113636367,0.018312622
10784,87,6724,0.057471264,0.116279073,0.001846154
10785,87,6727,0.0,0.0,0.009066183
10800,89,4038,0.012671595,0.413793117,0.0
10831,110,2533,0.052380953,0.126436785,0.0025
10848,181,506,0.0,0.0,0.020588236
10864,251,1291,0.014705882,0.03846154,0.009975063
10912,430,3741,0.017612524,0.072580643,0.056890011
10913,430,3833,0.007211538,0.130434781,0.006980803
10992,116,194,0.057742782,0.338461548,0.007177033
11024,188,6602,0.007518797,0.111111112,0.007952286
11104,364,7112,0.016835017,0.100000001,0.002171553
11504,28,2816,0.001495886,0.333333343,0.031111112
11520,39,304,0.009708738,0.032258064,0.002739726
11888,110,5667,0.090277776,0.298850566,0.0008285
12096,177,1771,0.126153842,0.273333341,0.00304878
12128,269,782,0.021604938,0.145833328,0.001937984
12160,82,6684,0.013483146,0.375,0.00131579
12176,343,3570,0.072413795,0.428571433,0.009689922
12368,153,4076,0.02247191,0.07692308,0.009780776
12720,269,5702,0.023333333,0.291666657,0.001031992
12864,98,683,0.021739131,0.052631579,0.028186275
