,source,target
0,3032,2605
1,3032,1191
2,3032,357
3,3032,2120
4,3032,861
5,3032,231
6,3032,3164
7,3032,920
8,3032,1907
9,3032,1612
10,3032,2327
11,3032,2549
12,3032,2524
13,3032,2912
14,3032,139
15,3032,83
16,3032,276
17,3032,2645
18,3032,2424
19,3032,2501
20,3032,2737
21,3032,1525
22,3032,751
23,4032,1521
24,4032,1191
25,4032,2334
26,4032,846
27,4032,3103
28,4032,3045
29,4032,920
30,4032,224
31,4032,810
32,4032,1369
33,4032,569
34,4032,2384
35,4032,2362
36,4032,1762
37,4032,3106
38,4032,751
39,3945,1550
40,3945,3152
41,3945,146
42,3945,2203
43,3945,846
44,3945,673
45,3945,2063
46,3945,920
47,3945,224
48,3945,3097
49,3945,329
50,3945,569
51,3945,2384
52,3945,2645
53,3945,608
54,3945,2936
55,4677,308
56,4677,3152
57,4677,357
58,4677,692
59,4677,653
60,4677,181
61,4677,861
62,4677,920
63,4677,1907
64,4677,2185
65,4677,1043
66,4677,139
67,4677,569
68,5137,515
69,5137,294
70,5137,3022
71,5137,2024
72,5137,846
73,5137,654
74,5137,48
75,5137,920
76,5137,1144
77,5137,1761
78,5137,760
79,400,89
80,400,2770
81,400,833
82,400,1394
83,400,861
84,400,152
85,400,3164
86,400,920
87,400,224
88,400,3097
89,400,400
90,400,2549
91,400,2524
92,400,83
93,400,2501
94,400,840
95,1803,1234
96,1803,3152
97,1803,2984
98,1803,2928
99,1803,188
100,1803,1085
101,1803,920
102,1803,224
103,1803,810
104,1803,1620
105,1803,11
106,1803,1108
107,1803,859
108,1803,828
109,1803,3104
110,1803,1570
111,1803,2737
112,1803,2153
113,1803,1656
114,1803,257
115,1803,569
116,1803,3054
117,1803,2424
118,1803,2130
119,1803,1699
120,1803,139
121,1803,2168
122,1803,803
123,1803,502
124,1803,588
125,1803,169
126,1803,436
127,1803,3057
128,2468,308
129,2468,3047
130,2468,507
131,2468,2928
132,2468,3151
133,2468,861
134,2468,975
135,2468,920
136,2468,1907
137,2468,1612
138,2468,2327
139,2468,2549
140,2468,2524
141,2468,139
142,2468,83
143,2468,2501
144,2468,802
145,2468,3044
146,289,1051
147,289,1222
148,289,586
149,289,2024
150,289,653
151,289,126
152,289,861
153,289,920
154,289,224
155,289,3097
156,289,329
157,289,2549
158,289,2524
159,289,83
160,289,569
161,289,2501
162,5687,1948
163,5687,421
164,5687,1301
165,5687,2928
166,5687,473
167,5687,757
168,5687,920
169,5687,224
170,5687,810
171,5687,553
172,5687,440
173,5687,569
174,5687,1525
175,5687,2912
176,5687,1147
177,7008,1951
178,7008,421
179,7008,885
180,7008,3035
181,7008,653
182,7008,145
183,7008,861
184,7008,920
185,7008,1907
186,7008,1612
187,7008,2327
188,7008,569
189,7008,608
190,7008,276
191,2811,3048
192,2811,619
193,2811,1301
194,2811,2553
195,2811,861
196,2811,152
197,2811,2063
198,2811,920
199,2811,224
200,2811,810
201,2811,553
202,2811,2549
203,2811,2524
204,2811,840
205,2811,635
206,2811,83
207,2811,569
208,2811,3054
209,2811,2902
210,2811,608
211,2811,2501
212,2811,436
213,2811,2914
214,1689,1948
215,1689,421
216,1689,2121
217,1689,653
218,1689,126
219,1689,2282
220,1689,920
221,1689,224
222,1689,3097
223,1689,1025
224,1689,2936
225,1689,635
226,1689,1387
227,1689,2724
228,1689,3051
229,1689,2661
230,6077,1550
231,6077,3152
232,6077,333
233,6077,846
234,6077,2410
235,6077,2330
236,6077,2814
237,6077,119
238,6077,1644
239,6077,1656
240,6077,1223
241,6077,2912
242,6077,1342
243,6077,2962
244,6077,569
245,6077,2638
246,6077,1608
247,6077,802
248,6077,2599
249,6077,276
250,6077,1548
251,6077,2335
252,6077,1525
253,3324,1951
254,3324,165
255,3324,206
256,3324,653
257,3324,2119
258,3324,48
259,3324,920
260,3324,224
261,3324,3097
262,3324,2510
263,3324,1387
264,3324,569
265,3324,2168
266,3324,802
267,3324,768
268,3324,2645
269,3324,2153
270,3324,53
271,6357,438
272,6357,1535
273,6357,1909
274,6357,2437
275,6357,861
276,6357,107
277,6357,1281
278,6357,2814
279,6357,119
280,6357,1644
281,6357,2721
282,6357,1548
283,6357,276
284,6357,2645
285,6357,2661
286,6357,2936
287,5905,1234
288,5905,3152
289,5905,1299
290,5905,861
291,5905,2861
292,5905,1649
293,5905,920
294,5905,1907
295,5905,2302
296,5905,3153
297,5905,2549
298,5905,2524
299,5905,1387
300,5905,83
301,5905,2501
302,5905,2645
303,5905,2424
304,5905,2737
305,5905,1147
306,5571,1550
307,5571,1417
308,5571,1828
309,5571,653
310,5571,2243
311,5571,653
312,5571,920
313,5571,224
314,5571,810
315,5571,602
316,5571,1607
317,5571,588
318,5571,257
319,5571,635
320,5571,928
321,5571,569
322,5571,2362
323,5571,1796
324,5571,276
325,5571,2645
326,5571,1530
327,5571,2409
328,5571,1213
329,5571,1147
330,5571,2661
331,1968,1234
332,1968,3152
333,1968,2872
334,1968,1931
335,1968,653
336,1968,287
337,1968,3164
338,1968,920
339,1968,224
340,1968,810
341,1968,756
342,1968,2549
343,1968,2524
344,1968,2534
345,1968,1391
346,1968,635
347,1968,83
348,1968,2384
349,1968,2501
350,1968,1147
351,1968,440
352,3636,1234
353,3636,3152
354,3636,3047
355,3636,1725
356,3636,653
357,3636,2322
358,3636,1694
359,3636,653
360,3636,1996
361,3636,920
362,3636,1907
363,3636,1612
364,3636,2327
365,3636,569
366,3636,608
367,1769,308
368,1769,3152
369,1769,917
370,1769,1780
371,1769,861
372,1769,2073
373,1769,2928
374,1769,920
375,1769,224
376,1769,2798
377,1769,2379
378,1769,3019
379,1769,2737
380,1769,655
381,1769,2960
382,1769,2424
383,349,3040
384,349,3152
385,349,2908
386,349,723
387,349,844
388,349,861
389,349,1114
390,349,846
391,349,920
392,349,1144
393,349,1761
394,349,760
395,349,1108
396,349,139
397,349,3054
398,349,803
399,349,436
400,349,2424
401,349,802
402,349,2737
403,349,502
404,1983,3068
405,1983,1191
406,1983,1301
407,1983,1177
408,1983,861
409,1983,2484
410,1983,846
411,1983,920
412,1983,224
413,1983,810
414,1983,553
415,1983,1607
416,1983,2732
417,1983,2479
418,1983,1342
419,1983,533
420,1983,928
421,1983,569
422,1983,855
423,1983,704
424,1983,1762
425,1983,2638
426,1983,802
427,1983,1431
428,1983,1530
429,3867,1726
430,3867,1535
431,3867,1909
432,3867,653
433,3867,1539
434,3867,2330
435,3867,2814
436,3867,119
437,3867,1644
438,3867,66
439,3867,2502
440,3867,2479
441,3867,1387
442,3867,569
443,3867,2724
444,3867,2362
445,3867,1762
446,3867,276
447,3867,2645
448,3867,2424
449,3867,2737
450,3867,1028
451,3867,486
452,3867,2734
453,1234,1951
454,1234,421
455,1234,2192
456,1234,2928
457,1234,532
458,1234,3164
459,1234,920
460,1234,1907
461,1234,2185
462,1234,1043
463,1234,2549
464,1234,2524
465,1234,2479
466,1234,2015
467,1234,1342
468,1234,83
469,1234,569
470,1234,1362
471,1234,139
472,1234,608
473,1234,1762
474,1234,2638
475,1234,1839
476,1234,2645
477,1234,2424
478,1234,276
479,1234,2737
480,1234,2501
481,1234,1525
482,1234,1505
483,1234,390
484,137,1948
485,137,3152
486,137,956
487,137,861
488,137,1974
489,137,3023
490,137,920
491,137,224
492,137,3097
493,137,615
494,137,139
495,137,569
496,137,440
497,5310,2554
498,5310,2060
499,5310,1226
500,5310,844
501,5310,653
502,5310,2322
503,5310,1085
504,5310,920
505,5310,224
506,5310,3097
507,5310,301
508,5310,395
509,5310,569
510,5310,3161
511,5310,2645
512,949,2605
513,949,1079
514,949,677
515,949,48
516,949,691
517,949,2814
518,949,119
519,949,1644
520,949,2870
521,949,1362
522,949,2645
523,949,2737
524,949,1656
525,949,257
526,949,569
527,949,3054
528,949,802
529,949,3044
530,949,2424
531,949,751
532,949,83
533,949,1796
534,949,588
535,949,2549
536,949,2524
537,949,635
538,949,2902
539,949,2501
540,949,436
541,949,1213
542,949,2734
543,949,390
544,4619,1948
545,4619,3152
546,4619,51
547,4619,475
548,4619,507
549,4619,2928
550,4619,1605
551,4619,690
552,4619,861
553,4619,2567
554,4619,920
555,4619,1144
556,4619,1761
557,4619,760
558,4619,2936
559,4619,635
560,4619,2384
561,4619,2645
562,4619,2424
563,4619,2737
564,2481,1550
565,2481,1618
566,2481,1858
567,2481,846
568,2481,2410
569,2481,3116
570,2481,2814
571,2481,119
572,2481,1644
573,2481,1413
574,2481,2728
575,2481,569
576,2481,2362
577,2481,2661
578,1508,1948
579,1508,3152
580,1508,1082
581,1508,861
582,1508,2484
583,1508,846
584,1508,920
585,1508,224
586,1508,3097
587,1508,329
588,1508,1656
589,1508,1108
590,1508,1342
591,1508,928
592,1508,3054
593,1508,1362
594,1508,2319
595,1508,803
596,1508,2638
597,1508,2645
598,1508,436
599,1508,502
600,1508,751
601,1508,390
602,2901,515
603,2901,1222
604,2901,2583
605,2901,2046
606,2901,1047
607,2901,2915
608,2901,48
609,2901,920
610,2901,1907
611,2901,2302
612,2901,896
613,2901,929
614,2901,1387
615,2901,704
616,2901,2645
617,2901,69
618,2901,440
619,1068,1234
620,1068,3152
621,1068,591
622,1068,2628
623,1068,1354
624,1068,2928
625,1068,1605
626,1068,2862
627,1068,846
628,1068,994
629,1068,920
630,1068,1144
631,1068,1761
632,1068,760
633,1068,588
634,1068,257
635,1068,139
636,1068,608
637,1068,1796
638,1068,802
639,1068,1213
640,1068,1147
641,1068,1525
642,4945,2554
643,4945,166
644,4945,861
645,4945,213
646,4945,1085
647,4945,920
648,4945,224
649,4945,810
650,4945,2964
651,4945,928
