,first,second,jaccard_coeff,overlap_coeff,jaccard_genre_sim
1568,859,430,0.085714288,0.214285716,0.034782607
1584,1490,3713,0.0,0.0,0.015503876
1600,35,6974,0.100000001,0.307692319,0.007046389
1616,1046,1264,0.0,0.0,0.023335621
1617,1046,2664,0.212121218,0.388888896,0.015558699
1632,430,5085,0.101265825,0.533333361,0.02905569
1648,793,6600,0.029850746,0.079999998,0.0
1664,1162,5842,0.011594203,0.307692319,0.001986097
1680,675,4115,0.027027028,0.214285716,0.008106543
1681,675,4748,0.008403362,0.050000001,0.003755055
1682,675,5338,0.213836476,0.365591407,0.003217315
1696,1334,3098,0.0,0.0,0.0
1712,1291,5842,0.0,0.0,0.007312614
1713,1292,4087,0.0,0.0,0.020080321
5712,1170,178,0.0625,0.260869563,0.007181329
6096,454,4265,0.050000001,0.157894731,0.002994012
6368,6,4115,0.0,0.0,0.028186275
9312,726,184,0.0,0.0,0.00248139
9392,719,4677,0.0,0.0,0.018691588
9552,793,2757,0.0,0.0,0.011363637
9696,1165,2440,0.135593221,0.307692319,0.0
9744,660,1,0.0,0.0,0.025998143
9920,775,2114,0.0,0.0,0.007905139
10000,938,3285,0.014778325,0.130434781,0.002139037
10096,523,949,0.0,0.0,0.005776173
10097,526,431,0.044444446,0.117647059,0.002218525
10160,764,970,0.0,0.0,0.001254705
10176,1399,2719,0.050420169,0.176470593,0.014880952
10192,368,6359,0.054054055,0.122448981,0.0
10256,1103,431,0.003703704,0.05882353,0.011382114
10288,190,1169,0.022222223,0.166666672,0.008533747
10320,182,877,0.014285714,0.051282052,0.006896552
10336,1547,7075,0.25,0.400000006,0.0
10368,716,2605,0.0,0.0,0.007281553
10416,372,783,0.046728972,0.263157904,0.0
10496,582,569,0.035714287,0.15384616,0.022334294
10576,1,660,0.0,0.0,0.025998143
10720,80,4741,0.0,0.0,0.008029648
10800,1,5468,0.02631579,0.07692308,0.025620496
10880,1002,877,0.081967212,0.344827592,0.01904762
10960,783,372,0.046728972,0.263157904,0.0
11040,569,582,0.035714287,0.15384616,0.022334294
11104,24,100,0.0,0.0,0.007974481
11120,184,726,0.0,0.0,0.00248139
11200,1552,227,0.0,0.0,0.018018018
11280,876,5842,0.0,0.0,0.006006006
11296,710,1542,0.217391297,0.454545468,0.008354219
11328,1088,5410,0.0,0.0,0.0
11392,949,523,0.0,0.0,0.005776173
11424,1111,32,0.142857149,0.444444448,0.004289216
11440,430,4242,0.136690646,0.263888896,0.016635859
11504,493,1979,0.043478262,0.230769232,0.001908397
11536,375,2087,0.0,0.0,0.0
11584,1472,3625,0.013333334,0.125,0.011450382
11600,1046,5577,0.024390243,0.111111112,0.006973501
11601,1047,6965,0.0,0.0,0.012135922
11616,753,4081,0.100000001,0.333333343,0.022099448
11632,593,506,0.0,0.0,0.016430171
11648,737,2664,0.132075474,0.318181813,0.00990099
11664,946,2466,0.0,0.0,0.038647342
11680,485,5775,0.019417476,0.25,0.014492754
11696,1169,4037,0.022988506,0.222222224,0.0393617
