,source,target
0,1412,89
1,1412,166
2,1412,1040
3,1412,846
4,1412,2987
5,1412,1649
6,1412,920
7,1412,224
8,1412,3097
9,1412,400
10,1412,569
11,1412,822
12,1412,2362
13,1412,802
14,1412,2728
15,1412,2734
16,3032,515
17,3032,1943
18,3032,289
19,3032,3084
20,3032,1575
21,3032,3164
22,3032,920
23,3032,224
24,3032,3097
25,3032,400
26,3032,1391
27,3032,635
28,3032,569
29,3032,821
30,3032,2645
31,3032,1147
32,3032,440
33,4032,1948
34,4032,421
35,4032,586
36,4032,202
37,4032,2024
38,4032,846
39,4032,45
40,4032,3164
41,4032,920
42,4032,224
43,4032,2798
44,4032,2064
45,4032,2534
46,4032,139
47,4032,2664
48,4032,2362
49,3945,438
50,3945,2464
51,3945,967
52,3945,861
53,3945,152
54,3945,1649
55,3945,920
56,3945,1907
57,3945,2185
58,3945,2986
59,3945,1607
60,3945,1895
61,3945,1013
62,3945,928
63,3945,569
64,3945,139
65,3945,608
66,3945,2362
67,3945,802
68,3945,1530
69,3945,1028
70,3945,1147
71,3945,763
72,3945,2734
73,3945,82
74,949,2598
75,949,1713
76,949,1053
77,949,2928
78,949,473
79,949,846
80,949,920
81,949,224
82,949,3097
83,949,706
84,949,1525
85,949,2912
86,949,2362
87,1051,2554
88,1051,1417
89,1051,2
90,1051,846
91,1051,1203
92,1051,653
93,1051,920
94,1051,224
95,1051,3097
96,1051,329
97,1051,569
98,1051,2384
99,1051,2764
100,3156,1726
101,3156,2864
102,3156,1778
103,3156,1433
104,3156,653
105,3156,811
106,3156,2063
107,3156,920
108,3156,224
109,3156,3097
110,3156,615
111,3156,1013
112,3156,1362
113,3156,2645
114,3156,2737
115,3156,2677
116,3156,569
117,3156,3054
118,3156,2764
119,3156,802
120,3156,3044
121,3156,1245
122,3156,2424
123,3156,83
124,3156,465
125,3156,2549
126,3156,2524
127,3156,1764
128,3156,2902
129,3156,2501
130,3156,436
131,3156,768
132,3156,390
133,4193,2352
134,4193,1535
135,4193,28
136,4193,2035
137,4193,2928
138,4193,131
139,4193,2063
140,4193,920
141,4193,224
142,4193,810
143,4193,553
144,4193,2549
145,4193,2524
146,4193,929
147,4193,83
148,4193,139
149,4193,2168
150,4193,704
151,4193,440
152,4193,276
153,4193,2645
154,4193,2501
155,4193,69
156,4193,1876
157,1803,670
158,1803,216
159,1803,160
160,1803,2374
161,1803,1998
162,1803,653
163,1803,1225
164,1803,48
165,1803,920
166,1803,1144
167,1803,1761
168,1803,2386
169,1803,2645
170,1803,2424
171,1803,2737
172,1803,1895
173,4437,1550
174,4437,216
175,4437,2307
176,4437,861
177,4437,1709
178,4437,861
179,4437,920
180,4437,1144
181,4437,1761
182,4437,760
183,4437,2335
184,4437,1876
185,2468,3048
186,2468,378
187,2468,333
188,2468,653
189,2468,2331
190,2468,2003
191,2468,2814
192,2468,119
193,2468,1644
194,2468,2906
195,2468,326
196,2468,1606
197,2468,569
198,2468,2783
199,2468,276
200,2468,1548
201,2468,2676
202,289,1449
203,289,1943
204,289,2212
205,289,861
206,289,68
207,289,1649
208,289,920
209,289,224
210,289,3097
211,289,615
212,289,2912
213,289,1013
214,289,635
215,289,139
216,289,569
217,289,395
218,289,2764
219,289,3161
220,289,276
221,289,2645
222,289,2424
223,289,2737
224,289,1525
225,3055,1554
226,3055,2864
227,3055,1294
228,3055,861
229,3055,1955
230,3055,48
231,3055,920
232,3055,224
233,3055,810
234,3055,1428
235,3055,704
236,3055,2362
237,922,308
238,922,3152
239,922,677
240,922,861
241,922,184
242,922,2063
243,922,920
244,922,224
245,922,810
246,922,14
247,922,821
248,922,569
249,922,2645
250,922,2384
251,922,440
252,2811,308
253,2811,3152
254,2811,642
255,2811,3109
256,2811,653
257,2811,2853
258,2811,3139
259,2811,653
260,2811,920
261,2811,1907
262,2811,1612
263,2811,2327
264,2811,1656
265,2811,326
266,2811,588
267,2811,257
268,2811,635
269,2811,1213
270,2811,569
271,2811,1796
272,2811,2645
273,2811,2676
274,2811,2130
275,1689,1199
276,1689,1713
277,1689,1358
278,1689,2928
279,1689,2738
280,1689,846
281,1689,920
282,1689,224
283,1689,3097
284,1689,400
285,1689,569
286,1689,821
287,1689,2645
288,1689,608
289,3242,2248
290,3242,1191
291,3242,2927
292,3242,861
293,3242,1594
294,3242,2282
295,3242,920
296,3242,224
297,3242,810
298,3242,464
