,first,second,jaccard_coeff,overlap_coeff,jaccard_genre_sim
9536,322,3072,0.029761905,0.072463766,0.021645023
9552,100,1941,0.023809524,0.190476194,0.027142856
9568,203,251,0.137931034,0.631578922,0.001165162
9616,395,2118,0.0,0.0,0.003391267
9664,365,393,0.107784428,0.461538464,0.022813689
9696,182,527,0.146993324,0.540983617,0.00308642
9840,265,2603,0.071428575,0.166666672,0.029585799
9856,204,904,0.052083332,0.10204082,0.006337136
9936,83,4295,0.004081632,0.071428575,0.004459309
10112,87,527,0.104247101,0.22131148,0.037469454
10128,388,2881,0.025210084,0.166666672,0.01546073
10288,291,389,0.032388665,0.444444448,0.002902758
10639,505,3009,0.119999997,0.272727281,0.000212721
10672,541,784,0.025423728,0.142857149,0.0
10864,69,1565,0.043343652,0.354430377,0.0
12523,414,4467,0.011764706,0.0625,0.000539084
12544,105,12,0.046263345,0.116071425,0.014967742
12576,275,940,0.002277904,0.125,0.039627038
12592,109,1383,0.055944055,0.125984251,0.002409639
12593,109,1562,0.057971016,0.272727281,0.019844083
12608,182,4511,0.009389671,0.108108111,0.039473683
12624,194,793,0.103448279,0.189873412,0.021716649
12640,222,2681,0.104294479,0.447368413,0.0
12656,24,2901,0.014084507,0.214285716,0.02
12672,569,4396,0.114285715,0.727272749,0.003690037
12688,182,1676,0.036217302,0.147540987,0.012096774
12720,347,1264,0.026022306,0.699999988,0.00539643
12736,222,4021,0.033112582,0.357142866,0.053046595
12752,138,293,0.082568809,0.473684222,0.012354651
12768,98,527,0.122448981,0.244897962,0.023638232
12784,315,2874,0.0,0.0,0.008782936
12785,315,3537,0.0,0.0,0.006587615
12800,393,1264,0.144444451,0.356164396,0.010105093
12816,569,1676,0.079999998,0.208955228,0.031399317
12832,94,1693,0.0,0.0,0.001461988
12848,96,3394,0.100775197,0.361111104,0.004444445
12864,322,1663,0.03125,0.100000001,0.0
12880,325,3235,0.034782607,0.363636374,0.0
12896,174,940,0.004484305,0.125,0.062387522
12897,174,1161,0.0,0.0,0.067405358
12912,387,1704,0.031496063,0.064516127,0.010169491
12944,220,3122,0.054545455,0.545454562,0.002766252
12960,112,2018,0.039999999,0.470588237,0.001422475
12976,12,4331,0.16853933,0.32967034,0.003907267
12977,12,4507,0.143478259,0.407407403,0.005200208
12992,562,4620,0.0,0.0,0.010928961
13008,574,2764,0.089855075,0.360465109,0.005988024
13024,110,81,0.045045044,0.151515156,0.130892456
13040,98,2726,0.061538462,0.200000003,0.009310987
13056,404,2130,0.019607844,0.043478262,0.007109005
13072,105,4021,0.06779661,0.571428597,0.02503477
13088,159,1504,0.148514852,0.625,0.004048583
13120,68,1430,0.023809524,0.5,0.006589786
13136,138,2173,0.014285714,0.052631579,0.033333335
13152,182,1090,0.031862747,0.464285702,0.001383126
13168,166,1785,0.365079373,0.589743614,0.008547009
13200,87,3549,0.036363635,0.125,0.000922793
13216,109,1815,0.053658538,0.268292695,0.003142184
13232,159,3992,0.105769232,0.478260875,0.002684564
13248,485,3660,0.029239766,0.277777791,0.007194245
13264,319,194,0.063829787,0.315789461,0.001497006
13280,109,4142,0.148031503,0.537142873,0.001587302
13281,109,4331,0.206489682,0.400000006,0.008090615
13282,109,4455,0.043478262,0.219512194,0.004
13312,376,940,0.008791209,0.148148149,0.014139827
13328,71,1817,0.083333336,0.571428597,0.021702837
13344,87,4468,0.381818175,0.600000024,0.021325648
13360,68,3818,0.02617801,0.434782594,0.003738318
13376,96,574,0.041533545,0.361111104,0.046951648
13377,96,675,0.081967212,0.166666672,0.049561951
13392,150,399,0.310344815,0.642857134,0.008185538
13440,72,87,0.200000003,0.557142854,0.000307692
13456,310,596,0.01969697,0.213114753,0.006493506
13472,278,888,0.029126214,0.073170729,0.009536785
13488,35,1812,0.0,0.0,0.003097893
13489,35,3678,0.0,0.0,0.0
13504,96,2480,0.063492067,0.555555582,0.005643341
13520,105,3235,0.112244897,0.392857134,0.00591716
13536,12,4107,0.053097345,0.214285716,0.000263644
13552,68,1143,0.103448279,0.405405402,0.001512859
13584,388,675,0.116666667,0.466666669,0.101000242
13600,99,1161,0.018867925,0.090909094,0.050682262
13616,25,3738,0.017699115,0.051282052,0.007535461
13632,373,2997,0.15625,0.454545468,0.005847953
13648,68,2756,0.036175709,0.4375,0.0
13664,67,1497,0.322580636,0.555555582,0.016666668
13712,202,574,0.095092021,0.462686568,0.049878344
13744,325,4248,0.093023255,0.285714298,0.002918856
13760,12,434,0.016216217,0.5,0.016887503
13761,12,541,0.041025642,0.380952388,0.004413292
13776,84,2283,0.038709678,0.363636374,0.039757993
13792,354,2932,0.090909094,0.166666672,0.0
13808,362,1381,0.021834061,0.116279073,0.0
13824,213,679,0.04040404,0.347826093,0.016591253
13840,86,837,0.042372882,0.096153848,0.021759698
13856,364,2409,0.0,0.0,0.018348623
13872,194,319,0.063829787,0.315789461,0.001497006
13888,222,2911,0.100529097,0.287878782,0.021186441
13904,574,1995,0.026666667,0.444444448,0.004207574
13920,406,458,0.045936394,0.317073166,0.0
13936,279,4056,0.023255814,0.05882353,0.017391304
13952,12,1254,0.082500003,0.181318685,0.005202914
13953,12,1264,0.06666667,0.15384616,0.206500202
13954,12,1535,0.129870132,0.379746825,0.00311284
13968,387,3254,0.024691358,0.095238097,0.000943396
13984,194,3178,0.044585988,0.086419754,0.00862069
14032,156,2485,0.009615385,0.25,0.002412545
14064,430,1381,0.017467249,0.095238097,0.005291005
14065,430,2359,0.03773585,0.095238097,0.030129125
14080,534,2864,0.017353579,0.400000006,0.0
14096,544,620,0.014492754,0.200000003,0.024288107
14112,382,4052,0.042016808,0.263157904,0.001015744
14128,452,3221,0.0,0.0,0.010652463
14144,388,4618,0.062015504,0.24242425,0.00505476
14145,389,291,0.032388665,0.444444448,0.002902758
14160,182,2487,0.024691358,0.454545468,0.025210084
14176,574,96,0.041533545,0.361111104,0.046951648
14192,296,3399,0.0,0.0,0.0
14208,247,2847,0.019672131,0.125,0.0125
14224,495,2057,0.212121218,0.466666669,0.002881844
14240,25,1849,0.017241379,0.050000001,0.003598741
14241,25,2664,0.075000003,0.75,0.021685904
14256,562,718,0.005882353,0.033333335,0.01438849
14272,569,793,0.089552239,0.179104477,0.035824582
14288,458,406,0.045936394,0.317073166,0.0
14304,150,3242,0.105263159,0.222222224,0.007952286
14336,14,2359,0.011627907,0.052631579,0.05232558
14352,172,1304,0.0,0.0,0.007702183
14368,508,3496,0.0,0.0,0.006906077
14384,194,4215,0.064220183,0.200000003,0.003968254
14385,194,4331,0.043046359,0.160493821,0.012711864
14416,108,4328,0.051282052,0.100000001,0.023745919
14417,109,12,0.101851851,0.188571423,0.126651481
14448,46,1766,0.100000001,0.200000003,0.003558719
14464,246,87,0.032863848,0.125,0.043878656
14480,68,2867,0.016000001,0.5,0.007453416
14496,81,4142,0.049423393,0.361445785,0.004313444
14497,81,4539,0.132231399,0.296296299,0.000742391
14512,182,837,0.022026431,0.140845075,0.0
14513,182,877,0.007462686,0.25,0.006896552
14528,485,1264,0.049504951,0.12658228,0.005794702
14544,293,138,0.082568809,0.473684222,0.012354651
14560,12,2937,0.063157894,0.600000024,0.005366726
14576,81,110,0.045045044,0.151515156,0.130892456
14577,81,671,0.118181817,0.324999988,0.003597122
14592,202,3526,0.051401868,0.164179102,0.003773585
14608,316,729,0.0,0.0,0.002574003
14624,569,3471,0.036144577,0.157894731,0.018633541
14625,569,4081,0.079268292,0.194029853,0.020782396
14640,87,1143,0.227678567,0.459459454,0.015004413
14656,222,596,0.078683831,0.387323946,0.025906736
14672,464,49,0.107142858,0.200000003,0.055290103
14673,464,2603,0.030303031,0.0625,0.030878861
14704,61,3537,0.014925373,0.039999999,0.002770083
14705,62,986,0.333333343,0.5,0.011029412
14720,12,2285,0.053398058,0.314285725,0.013027619
14721,12,2468,0.145833328,0.283783793,0.001578947
14722,12,2506,0.142857149,0.377777785,0.001050696
14736,291,2090,0.039840639,0.416666657,0.027027028
14752,431,1212,0.045226131,0.173076928,0.004350191
14753,431,1518,0.072164945,0.134615391,0.00450197
14754,431,1527,0.040816326,0.079999998,0.01140873
14768,434,12,0.016216217,0.5,0.016887503
14784,269,1744,0.013888889,0.035714287,0.009049774
14816,293,1865,0.015151516,0.057142857,0.029250458
14832,12,2046,0.095975235,0.180232555,0.009362808
14833,12,2218,0.093896717,0.392156869,0.005111168
14848,368,1744,0.018518519,0.100000001,0.013345196
14864,87,2099,0.1291866,0.375,0.012158055
14865,87,2283,0.088942304,0.22560975,0.042583596
14896,574,3730,0.023333333,0.411764711,0.0
14897,574,4137,0.119496852,0.575757563,0.006726457
14912,12,105,0.046263345,0.116071425,0.014967742
14913,12,109,0.101851851,0.188571423,0.126651481
14928,541,12,0.041025642,0.380952388,0.004413292
15008,538,2994,0.015384615,0.06666667,0.005454545
15072,527,87,0.104247101,0.22131148,0.037469454
15073,527,98,0.122448981,0.244897962,0.023638232
15074,527,182,0.146993324,0.540983617,0.00308642
15088,574,202,0.095092021,0.462686568,0.049878344
15120,538,1684,0.149253726,0.384615391,0.032467533
15136,68,4331,0.230612248,0.482905984,0.001893939
15168,251,203,0.137931034,0.631578922,0.001165162
15169,251,2218,0.147540987,0.473684222,0.005060444
15170,251,2268,0.142857149,0.473684222,0.009345794
15171,251,3072,0.078947365,0.473684222,0.003971631
15184,396,3169,0.012820513,0.033333335,0.0
15312,398,1395,0.057142857,0.125,0.002978407
15313,399,150,0.310344815,0.642857134,0.008185538
15360,315,3880,0.029850746,0.13333334,0.005208333
15392,399,1237,0.183673471,0.5625,0.007917657
15455,278,4468,0.090425529,0.261538476,0.010029498
15552,71,781,0.0,0.0,0.0
15584,404,1220,0.049261082,0.344827592,0.006711409
15968,87,72,0.200000003,0.557142854,0.000307692
15969,87,246,0.032863848,0.125,0.043878656
15984,220,1540,0.078125,0.454545468,0.004707464
16176,110,2408,0.031914894,0.272727281,0.004731861
16177,110,3972,0.033333335,0.090909094,0.005577689
16224,87,2726,0.035532996,0.174999997,0.007480551
16304,209,2847,0.0,0.0,0.0
16305,210,1531,0.027027028,0.300000012,0.002724796
16640,222,1737,0.044198897,0.170212761,0.031613976
16704,194,1397,0.020979021,0.111111112,0.0
16705,194,1422,0.078947365,0.148148149,0.001386963
16960,12,3072,0.191666663,0.442307681,0.004899433
16961,12,3178,0.122881353,0.3493976,0.002873563
17456,87,1252,0.067415729,0.461538464,0.057047777
17457,87,1309,0.041884817,0.22857143,0.023684936
17458,87,1535,0.065789476,0.189873412,0.005434783
17632,12,1540,0.111940302,0.258620679,0.002583312
17633,12,1565,0.134306565,0.505494535,0.001812532
17634,12,1571,0.090476193,0.404255331,0.002864583
17635,12,1695,0.168103442,0.438202262,0.003872967
18384,87,3804,0.148000002,0.300813019,0.004587156
18385,87,4169,0.117647059,0.48888889,0.006235154
18386,87,4273,0.155844152,0.349514574,0.004544077
18640,393,365,0.107784428,0.461538464,0.022813689
18641,393,695,0.044554457,0.138461545,0.021686748
19184,864,4517,0.03846154,0.222222224,0.0072
20032,695,393,0.044554457,0.138461545,0.021686748
20928,781,71,0.0,0.0,0.0
20960,671,81,0.118181817,0.324999988,0.003597122
21024,938,1440,0.021052632,0.15384616,0.003076923
21424,793,2583,0.204819277,0.809523821,0.030513177
21456,49,464,0.107142858,0.200000003,0.055290103
21457,49,2018,0.035175879,0.466666669,0.000912409
21458,49,3972,0.041666668,0.200000003,0.00623608
21469,49,2533,0.020134227,0.200000003,0.000909918
21696,108,815,0.016722407,0.238095239,0.002773925
21697,108,940,0.006666667,0.142857149,0.055426583
21698,108,1381,0.00952381,0.095238097,0.002714625
21699,108,2281,0.03125,0.083333336,0.008925506
21709,108,1565,0.014827018,0.428571433,0.003763257
22016,596,310,0.01969697,0.213114753,0.006493506
22112,724,2156,0.042735044,0.15625,0.0
22304,864,3396,0.158730164,0.357142866,0.025365103
22336,860,3615,0.010362694,0.222222224,0.0
22384,596,222,0.078683831,0.387323946,0.025906736
22592,809,4289,0.075949363,0.206896558,0.006369427
22992,591,1089,0.014705882,0.125,0.0
23264,808,4468,0.046357617,0.388888896,0.016331658
23440,811,888,0.012738854,0.097560972,0.008928572
23760,729,316,0.0,0.0,0.002574003
24285,693,4574,0.025641026,0.111111112,0.003236246
24336,940,1063,0.0,0.0,0.024158126
24576,940,376,0.008791209,0.148148149,0.014139827
24720,670,3078,0.138888896,0.324675322,0.0
24944,659,2268,0.19178082,0.411764711,0.017013233
24992,940,1264,0.080495358,0.195488721,0.029840849
25008,896,1264,0.118518516,0.256684482,0.013420089
25056,837,3855,0.050632913,0.112676054,0.002254791
25120,811,1264,0.056420233,0.109022558,0.01577287
25216,724,838,0.115979381,0.616438329,0.004846527
25616,585,3264,0.056603774,0.150000006,0.00304878
25968,815,108,0.016722407,0.238095239,0.002773925
26224,794,1461,0.045454547,0.111111112,0.01118068
