,source,target
0,3032,1521
1,3032,1079
2,3032,2801
3,3032,846
4,3032,261
5,3032,1085
6,3032,920
7,3032,224
8,3032,3097
9,3032,2642
10,3032,768
11,4032,1121
12,4032,1417
13,4032,1902
14,4032,653
15,4032,2219
16,4032,1085
17,4032,920
18,4032,224
19,4032,3097
20,4032,1889
21,4032,2549
22,4032,2524
23,4032,588
24,4032,1108
25,4032,257
26,4032,1387
27,4032,635
28,4032,1213
29,4032,83
30,4032,3054
31,4032,803
32,4032,1796
33,4032,2501
34,4032,2645
35,4032,2424
36,4032,436
37,4032,2737
38,4032,502
39,4032,1147
40,3945,2598
41,3945,166
42,3945,787
43,3945,861
44,3945,2013
45,3945,48
46,3945,920
47,3945,224
48,3945,3097
49,3945,2642
50,3945,588
51,3945,257
52,3945,929
53,3945,2936
54,3945,2384
55,3945,704
56,3945,1796
57,3945,1213
58,3945,2677
59,3945,69
60,3945,2130
61,949,438
62,949,3152
63,949,1053
64,949,2928
65,949,2607
66,949,3164
67,949,920
68,949,1907
69,949,2185
70,949,2538
71,949,1108
72,949,2645
73,949,2914
74,949,2737
75,949,3054
76,949,569
77,949,3149
78,949,318
79,949,2424
80,949,1431
81,949,2184
82,949,751
83,949,139
84,949,855
85,949,803
86,949,3161
87,949,704
88,949,276
89,949,502
90,949,2936
91,949,395
92,949,2384
93,949,436
94,5137,1133
95,5137,433
96,5137,628
97,5137,653
98,5137,2580
99,5137,2063
100,5137,920
101,5137,224
102,5137,3097
103,5137,1889
104,5137,1387
105,5137,2724
106,5137,2362
107,5137,318
108,5137,768
109,5137,1028
110,5137,1147
111,5137,2184
112,400,839
113,400,2060
114,400,846
115,400,1372
116,400,2282
117,400,920
118,400,1907
119,400,2185
120,400,2538
121,400,1607
122,400,1656
123,400,928
124,400,569
125,400,2384
126,400,1530
127,1803,2347
128,1803,226
129,1803,1902
130,1803,653
131,1803,1499
132,1803,757
133,1803,920
134,1803,224
135,1803,2867
136,1803,2037
137,1803,569
138,1803,608
139,1803,1147
140,1803,1525
141,1803,1505
142,1803,440
143,2468,2665
144,2468,3152
145,2468,452
146,2468,2323
147,2468,1271
148,2468,846
149,2468,920
150,2468,224
151,2468,2867
152,2468,2885
153,2468,1993
154,2468,928
155,2468,1599
156,2468,2153
157,2468,2737
158,2468,1087
159,2468,1656
160,2468,94
161,2468,889
162,2468,929
163,2468,2912
164,2468,569
165,2468,2456
166,2468,2420
167,2468,2362
168,2468,2429
169,2468,2480
170,2468,2424
171,2468,946
172,2468,69
173,2468,1525
174,2468,1156
175,2468,2709
176,2468,139
177,2468,3161
178,2468,1470
179,2468,276
180,2468,721
181,2468,1844
182,2468,2228
183,2468,1689
184,2468,574
185,2468,763
186,2468,440
187,2468,2502
188,2468,1810
189,2468,1762
190,2468,2638
191,2468,768
192,2468,2442
193,2468,2606
194,2468,1147
195,289,1449
196,289,1222
197,289,480
198,289,846
199,289,1340
200,289,3084
201,289,920
202,289,1907
203,289,1612
204,289,795
205,289,569
206,289,608
207,5687,438
208,5687,2465
209,5687,3077
210,5687,861
211,5687,152
212,5687,861
213,5687,920
214,5687,224
215,5687,3097
216,5687,27
217,5687,588
218,5687,257
219,5687,569
220,5687,608
221,5687,1796
222,5687,2645
223,5687,2169
224,5687,1213
225,5687,751
