,first,second,jaccard_coeff,overlap_coeff,jaccard_genre_sim
5376,311,1196,0.135135129,0.25,0.027322404
8896,251,5650,0.047619049,0.129032254,0.001733603
9072,311,4454,0.155378491,0.590909064,0.010954617
9600,319,4900,0.039999999,0.5,0.0
10304,427,80,0.035294119,0.088235296,0.007046765
10336,180,4395,0.048689138,0.11304348,0.003412969
10352,112,6526,0.06666667,0.13636364,0.00795756
10384,122,2650,0.011648745,0.351351351,0.03043022
10432,16,1284,0.040419161,0.355263144,0.013300084
10448,399,138,0.023529412,0.06666667,0.010544815
10480,363,2621,0.128342241,0.489795923,0.001470588
10496,100,4900,0.026086956,0.065217391,0.001972387
10544,210,3004,0.037433155,0.168674693,0.012853471
10704,99,4033,0.009615385,0.03846154,0.004750594
11488,98,1121,0.01734104,0.069767445,0.02016129
11696,10,2459,0.018766755,0.212121218,0.002526528
12048,199,2554,0.214285716,0.473684222,0.002722323
12128,80,5539,0.0,0.0,0.003331113
12144,432,3465,0.086206898,0.166666672,0.00101626
12192,258,6131,0.028985508,0.105263159,0.006349206
12576,86,1321,0.019736841,0.039999999,0.009146341
12640,246,3189,0.038123168,0.107438013,0.007751938
12672,301,662,0.180000007,0.360000014,0.008510638
12688,351,412,0.057142857,0.14705883,0.002237136
12784,343,2390,0.0625,0.166666672,0.003278689
12800,414,4918,0.005934718,0.095238097,0.00453629
12801,414,6232,0.026666667,0.095238097,0.002669514
12816,177,3992,0.029069768,0.178571433,0.003246753
12817,177,4395,0.042452831,0.160714284,0.0
12880,420,4943,0.025139665,0.391304344,0.005952381
12928,16,6269,0.076363638,0.276315778,0.007696008
13040,285,4395,0.031914894,0.07272727,0.0
13056,366,4276,0.011976048,0.046511628,0.004761905
13120,395,4649,0.050000001,0.13636364,0.002098195
13152,461,1073,0.035,0.152173907,0.015463918
13184,431,5405,0.007220217,0.0625,0.019474637
13248,301,3280,0.145833328,0.333333343,0.003512881
13264,395,1,0.152542368,0.333333343,0.11046312
13280,251,1075,0.039999999,0.142857149,0.003996574
13296,311,479,0.091772154,0.439393938,0.021241831
13312,92,5462,0.031948883,0.322580636,0.024875622
13328,225,2650,0.007252946,0.421052635,0.003857281
13344,80,2133,0.008849557,0.029411765,0.001981506
13360,431,4037,0.033898305,0.172413796,0.01631579
13376,251,4004,0.008368201,0.01754386,0.001735609
13377,251,4450,0.074626863,0.333333343,0.014829967
13392,95,3620,0.016129032,0.047619049,0.003844042
13408,420,729,0.024,0.224999994,0.007217322
13440,311,6473,0.213592231,0.372881353,0.015280136
13472,76,5519,0.0,0.0,0.031763416
13488,241,4719,0.011792453,0.040322579,0.020297699
13504,325,4928,0.017857144,0.055555556,0.002365464
13520,431,210,0.03125,0.120481931,0.01719057
13536,166,204,0.015748031,0.200000003,0.008827238
13552,311,4520,0.079754598,0.196969703,0.052554745
13568,262,2340,0.01754386,0.057142857,0.010802469
13584,1,1616,0.043478262,0.296296299,0.020352781
13600,375,6219,0.012345679,0.03846154,0.004457652
13601,376,5554,0.001757469,0.333333343,0.001567398
13616,426,1854,0.150943398,0.307692319,0.008324662
13617,426,2650,0.011669659,0.371428579,0.00308642
13632,95,662,0.090000004,0.360000014,0.015306123
13648,204,166,0.015748031,0.200000003,0.008827238
13664,92,3034,0.069819823,0.169398904,0.013777267
