,jaccard_genre_sim,second,first
0,0.027190333,36,119
1,0.012485811,36,569
2,0.009803922,36,2814
3,0.015698588,36,276
4,0.028469751,36,802
5,0.005244755,36,2501
6,0.01010101,36,2414
7,0.04225352,36,1565
8,0.0,36,3088
9,0.005347594,36,2549
10,0.004950495,36,1387
11,0.005376344,36,2524
12,0.0,2331,928
13,0.0,2331,996
14,0.0,2331,33
15,0.0,2331,1301
16,0.011627907,913,1951
17,0.005291005,913,861
18,0.0,913,2638
19,0.019607844,913,821
20,0.02631579,913,1342
21,0.006888634,913,569
22,0.016509434,913,706
23,0.0,913,1955
24,0.008080808,1841,635
25,0.003460208,1841,3097
26,0.001172333,1841,2645
27,0.06122449,1841,1481
28,0.014492754,1841,1828
29,0.0,1841,2168
30,0.0,1841,2282
31,0.004542014,1841,224
32,0.014198783,635,1040
33,0.002020202,635,1137
34,0.021868788,635,784
35,0.010183299,635,1288
36,0.008064516,635,111
37,0.004048583,635,969
38,0.012096774,635,1233
39,0.014112903,635,1244
40,0.018404908,635,1285
41,0.010162601,635,242
42,0.02504817,635,1095
43,0.01532567,635,960
44,0.016064256,635,175
45,0.008016032,635,719
46,0.01629328,635,1094
47,0.014227643,635,418
48,0.024221454,2384,1606
49,0.00660066,2384,1373
50,0.00729927,2384,1367
51,0.003802281,2384,1059
52,0.0,2384,1395
53,0.003787879,2384,1307
54,0.003717472,2384,637
55,0.007518797,2384,1453
56,0.017301038,2384,1565
57,0.007434944,2384,1015
58,0.003584229,2384,614
59,0.003690037,2384,99
60,0.0,2384,1847
61,0.003636364,2384,0
62,0.003610108,2384,742
63,0.04187192,2384,1387
64,0.004640371,2645,245
65,0.010514019,2645,623
66,0.009378663,2645,1571
67,0.004728132,2645,547
68,0.004711425,2645,39
69,0.007033998,2645,1870
70,0.005841122,2645,1593
71,0.007009346,2645,559
72,0.017241379,2645,294
73,0.002333722,2645,618
74,0.004672897,2645,1532
75,0.004700352,2645,458
76,0.003529412,2645,1096
77,0.015909091,2645,51
78,0.002358491,2645,1413
79,0.004700352,2645,984
80,0.035714287,866,1529
81,0.04040404,866,1245
82,0.005076142,866,2737
83,0.010666667,866,846
84,0.0,866,1968
85,0.037558686,866,1764
86,0.03125,866,1582
87,0.012195121,866,768
88,0.0,866,3057
89,0.0,866,3061
90,0.0147929,866,119
91,0.012443439,866,569
92,0.009708738,866,2814
93,0.070175439,866,318
94,0.02020202,866,1505
95,0.0,866,2184
96,0.117397457,635,1656
97,0.013972056,635,540
98,0.020120725,635,383
99,0.01010101,635,786
100,0.024048096,635,245
101,0.026156941,635,623
102,0.012,635,1571
103,0.236187845,635,224
104,0.016129032,635,618
105,0.034548946,635,51
106,0.002004008,635,984
107,0.041431263,635,1640
108,0.008048289,635,982
109,0.01417004,635,1906
110,0.01010101,635,1680
111,0.01417004,635,783
112,0.009101942,1305,920
113,0.014511873,1305,861
114,0.010638298,1305,83
115,0.006818182,1305,569
116,0.0,1305,3104
117,0.050000001,1305,378
118,0.140000001,1305,718
119,0.029090909,1305,802
120,0.003527337,1305,2501
121,0.003597122,1305,2549
122,0.003616637,1305,2524
123,0.243243247,1305,1668
124,0.037037037,782,329
125,0.0625,782,532
126,0.050000001,782,228
127,0.020366598,782,635
128,0.006792453,1314,224
129,0.003841229,1314,2737
130,0.005714286,1314,2936
131,0.006654568,1314,920
132,0.0,1314,2119
133,0.0,1314,2104
134,0.012411348,1314,83
135,0.01183432,1314,2063
136,0.07526882,1314,1550
137,0.010250569,1314,569
138,0.009433962,1314,276
139,0.005291005,1314,2501
140,0.010245902,1314,653
141,0.005395683,1314,2549
142,0.005424955,1314,2524
143,0.073170729,1314,103
144,0.005037783,590,2424
145,0.112676054,590,425
146,0.007558579,590,224
147,0.005134788,590,2737
148,0.007878788,590,920
149,0.0,590,1968
150,0.0,590,2734
151,0.026143791,590,768
152,0.0,590,1951
153,0.007863696,590,861
154,0.0,590,3061
155,0.010262257,590,569
156,0.008928572,590,318
157,0.008264462,590,2927
158,0.0,590,2184
159,0.0625,590,1565
160,0.013333334,1042,499
161,0.0,1042,2123
162,0.027777778,1042,757
163,0.046511628,1042,168
164,0.014354067,1042,2661
165,0.018691588,1042,451
166,0.0,1042,2936
167,0.0,1042,2049
168,0.003952569,1042,861
169,0.018691588,1042,119
170,0.005720824,1042,569
171,0.00338983,1042,2814
172,0.161290318,1042,1802
173,0.0,1042,2846
174,0.0,1042,44
175,0.089285716,1416,691
176,0.008168028,2645,1682
177,0.003512881,2645,271
178,0.005854801,2645,1076
179,0.004694836,2645,1634
180,0.001176471,2645,1207
181,0.002333722,2645,1811
182,0.004683841,2645,1862
183,0.00591716,2645,123
184,0.004728132,2645,703
185,0.008244994,2645,1880
186,0.004700352,2645,330
187,0.002339181,2645,456
188,0.003504673,2645,1111
189,0.008215962,2645,1863
190,0.003512881,2645,222
191,0.003512881,2645,657
192,0.025316456,329,14
193,0.032329988,329,569
194,0.082352944,329,247
195,0.065789476,329,1786
196,0.023809524,329,1704
197,0.025316456,329,558
198,0.025316456,329,1715
199,0.018867925,329,1761
200,0.010416667,329,718
201,0.084337346,329,1684
202,0.04109589,329,653
203,0.012345679,329,1453
204,0.026666667,329,1363
205,0.08219178,329,1512
206,0.012820513,329,1559
207,0.027027028,329,2687
208,0.093023255,1670,1883
209,0.053571429,1670,499
210,0.070422538,1670,1064
211,0.064102568,1670,443
212,0.040540539,1670,701
213,0.052631579,1670,213
214,0.146666661,1670,408
215,0.0,1670,2495
216,0.028571429,1670,1165
217,0.09589041,1670,1275
218,0.084507041,1670,30
219,0.055172414,1670,757
220,0.126760557,1670,1845
221,0.02631579,1670,2554
222,0.019583844,1670,2424
223,0.101449274,1670,971
224,0.009548611,3097,562
225,0.006081668,3097,1731
226,0.008665511,3097,1732
227,0.006968641,3097,1722
228,0.008613264,3097,1639
229,0.006018917,3097,205
230,0.00173762,3097,1023
231,0.005208333,3097,1911
232,0.005221932,3097,976
233,0.004332756,3097,1686
234,0.097972974,3097,1649
235,0.003412969,3097,989
236,0.008643042,3097,647
237,0.002604167,3097,273
238,0.006896552,3097,1114
239,0.002604167,3097,1741
240,0.020979021,1126,83
241,0.078431375,1126,617
242,0.040441178,1126,821
243,0.039215688,1126,1104
244,0.130434781,1126,887
245,0.049180329,1126,260
246,0.114285715,1126,1370
247,0.027149322,1126,706
248,0.140000001,1126,472
249,0.088235296,1126,1291
250,0.104166664,1126,1505
251,0.011764706,1126,2927
252,0.012152778,1126,2501
253,0.222222224,1126,630
254,0.160714284,1126,645
255,0.134328365,1126,486
256,0.006662629,459,920
257,0.05882353,459,1594
258,0.011857707,459,861
259,0.010657194,459,83
260,0.0,459,3057
261,0.013856813,459,706
262,0.0,459,318
263,0.0,459,2184
264,0.001763668,459,2501
265,0.001798561,459,2549
266,0.001808318,459,2524
267,0.0,2539,738
268,0.0,1674,2912
269,0.01010101,1674,635
270,0.004325259,1674,3097
271,0.048780486,1674,1616
272,0.004329004,3097,1286
273,0.008591065,3097,816
274,0.013793103,3097,1143
275,0.005176877,3097,277
276,0.004321521,3097,709
277,0.003469211,3097,1512
278,0.007805724,3097,159
279,0.006065858,3097,9
280,0.004310345,3097,970
281,0.006920415,3097,238
282,0.003451251,3097,845
283,0.044962533,3097,1195
284,0.006884682,3097,742
285,0.003451251,3097,801
286,0.046712805,3097,1053
287,0.006086957,3097,1559
288,0.004332756,3097,56
289,0.050127443,3097,757
290,0.003484321,3097,136
291,0.003469211,3097,253
292,0.034453057,3097,352
293,0.010178117,3097,1174
294,0.006060606,3097,193
295,0.004321521,3097,1804
296,0.006055363,3097,1845
297,0.010371651,3097,370
298,0.008539709,3097,1260
299,0.010291595,3097,244
300,0.004291845,3097,1887
301,0.002604167,3097,571
302,0.003454231,3097,12
303,0.002595156,3097,1224
304,0.016736401,1644,1258
305,0.016194332,1644,1557
306,0.031746034,1644,1226
307,0.008264462,1644,388
308,0.008438818,1644,424
309,0.008,1644,465
310,0.101404056,1644,635
311,0.025104603,1644,809
312,0.026717557,1644,827
313,0.023809524,1644,1078
314,0.020408163,1644,894
315,0.024489796,1644,1351
316,0.037815128,1644,1763
317,0.024489796,1644,1157
318,0.020920502,1644,109
319,0.004081632,1644,870
320,0.021645023,201,48
321,0.008327025,201,224
322,0.003851091,201,2737
323,0.008495145,201,920
324,0.010067114,201,1108
325,0.125,201,1594
326,0.011857707,201,861
327,0.008865248,201,83
328,0.006880734,201,706
329,0.002808989,201,3054
330,0.0,201,2501
331,0.0,201,2846
332,0.0,201,2549
333,0.0,201,2524
334,0.051948052,572,329
335,0.005203816,572,3097
336,0.003759399,215,2424
337,0.0,215,2168
338,0.010204081,215,2724
339,0.01608579,215,436
340,0.017667845,215,803
341,0.0,215,502
342,0.005267118,215,224
343,0.003831418,215,2737
344,0.007255139,215,920
345,0.016666668,215,1108
346,0.028037382,215,476
347,0.01058201,215,83
348,0.104477614,215,1304
349,0.0,215,2153
350,0.00406504,215,2927
351,0.002777778,215,3054
352,0.004344048,3097,950
353,0.005212858,3097,1692
354,0.003466205,3097,741
355,0.696766317,3097,920
356,0.005235602,3097,593
357,0.005176877,3097,1154
358,0.004306632,3097,325
359,0.006050129,3097,1745
360,0.004344048,3097,686
361,0.006065858,3097,285
362,0.004310345,3097,728
363,0.002588438,3097,316
364,0.003442341,3097,1484
365,0.005212858,3097,575
366,0.0078125,3097,1664
367,0.002590674,3097,180
368,0.016806724,2248,777
369,0.00952381,2248,1484
370,0.01,2248,1664
371,0.01980198,2248,197
372,0.0,2248,1264
373,0.0,2248,765
374,0.0,2248,266
375,0.0,2248,700
376,0.00952381,2248,446
377,0.0,2248,260
378,0.01980198,2248,1546
379,0.0,2248,1577
380,0.0,2248,184
381,0.0,2248,1303
382,0.010869565,2248,442
383,0.01010101,2248,749
384,0.028037382,1509,2248
385,0.012878788,1509,224
386,0.071428575,1509,1206
387,0.059999999,1509,1012
388,0.035714287,1509,937
389,0.08219178,1509,1095
390,0.028735632,1509,2936
391,0.012143291,1509,920
392,0.106382981,1509,1484
393,0.037383176,1509,476
394,0.009138381,1509,861
395,0.069767445,1509,1356
396,0.096153848,1509,1538
397,0.127272725,1509,823
398,0.011389522,1509,706
399,0.101694912,1509,1249
400,0.009404388,1017,2323
401,0.006024096,1017,3164
402,0.016528925,1017,1798
403,0.0,1017,1943
404,0.002570694,1017,2737
405,0.006060606,1017,920
406,0.0,1017,1968
407,0.033557046,1017,768
408,0.0125,1017,83
409,0.0,1017,3061
410,0.016129032,1017,1963
411,0.15625,1017,693
412,0.00949367,1017,276
413,0.033088237,1017,1761
414,0.003546099,1017,2501
415,0.003616637,1017,2549
416,0.020408163,1122,1416
417,0.02739726,1122,863
418,0.155555561,1122,113
419,0.04040404,1122,670
420,0.020833334,1122,502
421,0.023880597,1122,1656
422,0.012820513,1122,224
423,0.010876133,1122,920
424,0.07692308,1122,731
425,0.106382981,1122,141
426,0.070707068,1122,152
427,0.119047619,1122,1602
428,0.007761966,1122,861
429,0.01754386,1122,83
430,0.166666672,1122,1538
431,0.022727273,1122,2063
432,0.009868421,644,1108
433,0.009126467,644,861
434,0.023131672,644,83
435,0.013651877,644,569
436,0.06666667,644,1432
437,0.035842296,644,1761
438,0.005540166,644,3054
439,0.012345679,644,2501
440,0.02053388,644,653
441,0.012589928,644,2549
442,0.012658228,644,2524
443,0.063829787,1858,1129
444,0.004700352,1858,2645
445,0.025641026,1858,213
446,0.011070111,1858,760
447,0.0,1858,2168
448,0.008108108,2362,622
449,0.00802139,2362,1322
450,0.005714286,2362,96
451,0.00862069,2362,578
452,0.00273224,2362,1310
453,0.011142061,2362,539
454,0.002873563,2362,237
455,0.011627907,2362,1185
456,0.005780347,2362,566
457,0.0,2362,993
458,0.011267605,2362,636
459,0.005681818,2362,1110
460,0.051823415,2362,48
461,0.010840109,2362,1569
462,0.008474576,2362,288
463,0.005797102,2362,1506
464,0.005208333,3097,1346
465,0.005203816,3097,480
466,0.006932409,3097,225
467,0.00947459,3097,697
468,0.007698888,3097,754
469,0.003475239,3097,1563
470,0.006902502,3097,886
471,0.006081668,3097,1575
472,0.01802575,3097,584
473,0.005199307,3097,1308
474,0.003448276,3097,1704
475,0.008673027,3097,1494
476,0.004344048,3097,1889
477,0.006102877,3097,834
478,0.002581756,3097,852
479,0.005194805,3097,1432
480,0.022727273,1085,1818
481,0.037313432,1085,30
482,0.036764707,1085,12
483,0.052238807,1085,631
484,0.037593983,1085,1754
485,0.02238806,1085,961
486,0.043165468,1085,1246
487,0.061538462,1085,1809
488,0.044117648,1085,562
489,0.036231883,1085,1732
490,0.018248174,1085,1649
491,0.037878789,1085,138
492,0.050359711,1085,1177
493,0.044117648,1085,761
494,0.039473683,1085,2661
495,0.043478262,1085,1271
496,0.003792668,1740,2424
497,0.009708738,1740,400
498,0.005295007,1740,224
499,0.00255102,1740,2928
500,0.003865979,1740,2737
501,0.005454545,1740,920
502,0.026845638,1740,768
503,0.010714286,1740,83
504,0.006060606,1740,2063
505,0.163934425,1740,433
506,0.006319115,1740,276
507,0.243902445,1740,379
508,0.022727273,1740,496
509,0.0,1740,2803
510,0.005338078,1740,2501
511,0.003623188,1740,2549
512,0.010273973,932,569
513,0.018561484,932,706
514,0.033333335,932,496
515,0.007092198,932,2501
516,0.005415163,932,2549
517,0.020833334,932,1387
518,0.005444646,932,2524
519,0.006065858,183,3097
520,0.0,183,2858
521,0.001262626,183,2424
522,0.029069768,183,1649
523,0.022038568,183,436
524,0.014492754,183,803
525,0.007220217,183,502
526,0.007587254,183,224
527,0.001287001,183,2737
528,0.008680556,3097,811
529,0.007745267,3097,105
530,0.005226481,3097,1749
531,0.002601908,3097,997
532,0.006060606,3097,22
533,0.002599653,3097,883
534,0.006878762,3097,775
