,first,second,jaccard_coeff,overlap_coeff,jaccard_genre_sim
1616,325,940,0.117647059,0.307692319,0.016345348
1632,127,1699,0.040150564,0.516129017,0.004132231
1648,106,526,0.048,0.142857149,0.002873563
1664,197,1622,0.01754386,0.111111112,0.012658228
1680,315,891,0.06329114,0.5,0.005082592
1696,127,524,0.038022812,0.576923072,0.003448276
1712,414,1185,0.10619469,0.400000006,0.001584786
1728,404,67,0.143396229,0.5,0.0
1744,325,1593,0.039682541,0.600000024,0.003934795
1760,16,1026,0.135593221,0.266666681,0.001456311
1776,235,1180,0.02247191,0.057142857,0.001901141
1792,318,1432,0.035971224,0.555555582,0.019911505
1793,318,1473,0.032467533,0.208333328,0.004444445
1808,395,211,0.011904762,0.025641026,0.002522068
1824,147,195,0.102222219,0.188524589,0.0
1840,178,1892,0.040816326,0.333333343,0.00407332
1856,258,1263,0.033613447,0.266666681,0.006042296
1872,150,1115,0.125984251,0.266666681,0.00528169
1888,126,1825,0.151162788,0.333333343,0.003710575
8208,108,842,0.384615391,0.625,0.007186858
8352,127,1128,0.005188067,0.5,0.007106599
8432,150,674,0.129032254,0.545454562,0.012635379
8464,334,471,0.003095975,0.25,0.0
9088,62,1476,0.114599682,0.651785731,0.001501502
9104,35,195,0.110389613,0.269841284,0.018786903
9105,35,227,0.133858263,0.472222209,0.008278145
9152,404,514,0.083798885,0.357142866,0.002570694
9184,5,1763,0.079365082,0.5,0.006321113
9232,127,1554,0.055555556,0.637681186,0.001529052
9264,127,1344,0.033376124,0.684210539,0.0
9376,188,86,0.07692308,0.347826093,0.025848143
9377,188,116,0.21192053,0.646464646,0.020797227
9392,67,1312,0.040983606,0.370370358,0.004219409
9488,110,340,0.25,0.425000012,0.00166113
9536,127,1224,0.024234693,0.527777791,0.0
9552,207,636,0.032786883,0.102564104,0.005434783
9568,45,1063,0.06818182,0.631578922,0.019039378
9760,267,496,0.069767445,0.174999997,0.010526316
9856,315,1132,0.07772021,0.25,0.001371742
10000,63,195,0.059171598,0.188679248,0.006914434
10048,163,551,0.256097555,0.583333313,0.003663004
10080,370,794,0.050000001,0.15384616,0.008174387
10128,315,671,0.013245033,0.400000006,0.003856041
10176,337,370,0.111111112,0.241379306,0.002928258
10192,415,35,0.076045625,0.298507452,0.001246883
10256,204,777,0.028688524,0.368421048,0.002673797
10272,391,1280,0.05027933,0.104651161,0.027559055
10288,167,1121,0.084112152,0.166666672,0.010830325
10304,370,337,0.111111112,0.241379306,0.002928258
10368,227,35,0.133858263,0.472222209,0.008278145
10384,85,15,0.0,0.0,0.005545286
10448,24,1825,0.052083332,0.121951222,0.006734007
10544,2,425,0.058333334,0.142857149,0.002878289
10576,35,390,0.047619049,0.423076928,0.013204672
10577,35,415,0.076045625,0.298507452,0.001246883
10608,287,127,0.243063256,0.620396614,0.0
10672,322,893,0.039682541,0.227272734,0.0
10688,358,6,0.162962958,0.297297299,0.002392344
10720,399,1196,0.092715234,0.875,0.038876891
10736,127,1887,0.003891051,0.428571433,0.001564945
10752,136,1297,0.010204081,0.857142866,0.010940919
10768,103,1850,0.079601988,0.385542154,0.008474576
10784,127,436,0.010376135,0.666666687,0.0041841
10800,107,1374,0.053941909,0.565217376,0.0
10816,35,1863,0.038961038,0.375,0.003095975
10832,122,106,0.04587156,0.200000003,0.107569724
10864,61,1467,0.124087594,0.229729727,0.001133144
10896,218,1476,0.0,0.0,0.005381166
10912,127,239,0.007782101,0.600000024,0.001876173
10928,275,1374,0.112149529,0.285714298,0.003502627
10944,67,1264,0.013100437,0.600000024,0.015946286
10960,16,37,0.083333336,0.162162155,0.0
10976,2,1365,0.028776979,0.061538462,0.007459756
10992,188,598,0.046594981,0.519999981,0.022304833
11008,216,127,0.047919292,0.59375,0.0
11024,388,818,0.193548381,0.428571433,0.009789157
11056,305,76,0.047297299,0.45161289,0.010909091
11104,211,395,0.011904762,0.025641026,0.002522068
