,source,target
0,1412,1234
1,1412,3152
2,1412,9
3,1412,1979
4,1412,861
5,1412,44
6,1412,861
7,1412,920
8,1412,224
9,1412,393
10,1412,1738
11,1412,2549
12,1412,2524
13,1412,83
14,1412,2501
15,1412,2424
16,1412,2737
17,1412,751
18,3032,2347
19,3032,2464
20,3032,868
21,3032,2779
22,3032,861
23,3032,2484
24,3032,846
25,3032,920
26,3032,224
27,3032,3097
28,3032,1722
29,3032,635
30,3032,569
31,3032,608
32,3032,2424
33,3032,2737
34,3032,763
35,4032,1234
36,4032,3152
37,4032,1351
38,4032,507
39,4032,861
40,4032,2433
41,4032,653
42,4032,920
43,4032,1144
44,4032,1761
45,4032,2386
46,4032,2549
47,4032,2524
48,4032,83
49,4032,569
50,4032,2501
51,4032,1028
52,4032,2970
53,3945,1951
54,3945,3152
55,3945,2481
56,3945,861
57,3945,2484
58,3945,1174
59,3945,920
60,3945,1907
61,3945,1612
62,3945,2327
63,3945,2737
64,3945,2661
65,3945,257
66,3945,2912
67,3945,929
68,3945,569
69,3945,2362
70,3945,2424
71,3945,69
72,3945,1525
73,3945,2732
74,3945,1387
75,3945,83
76,3945,704
77,3945,1796
78,3945,1854
79,3945,440
80,3945,2549
81,3945,2524
82,3945,588
83,3945,2936
84,3945,2384
85,3945,2724
86,3945,2501
87,3945,768
88,3945,1213
89,949,1234
90,949,3152
91,949,2481
92,949,846
93,949,673
94,949,691
95,949,2814
96,949,119
97,949,451
98,949,1119
99,949,1656
100,949,2384
101,949,2362
102,1051,1234
103,1051,3152
104,1051,49
105,1051,507
106,1051,846
107,1051,1340
108,1051,653
109,1051,920
110,1051,1144
111,1051,1761
112,1051,760
113,1051,1656
114,1051,1607
115,1051,588
116,1051,2549
117,1051,2524
118,1051,257
119,1051,928
120,1051,569
121,1051,83
122,1051,2384
123,1051,2362
124,1051,1530
125,1051,704
126,1051,1796
127,1051,2501
128,1051,2424
129,1051,2737
130,1051,1213
131,1051,1028
132,3156,1234
133,3156,3152
134,3156,2640
135,3156,2323
136,3156,2298
137,3156,846
138,3156,920
139,3156,224
140,3156,810
141,3156,2204
142,3156,1391
143,3156,1606
144,3156,635
145,3156,139
146,3156,2168
147,3156,2384
148,3156,859
149,3156,2362
150,3156,1147
151,3156,1570
152,3156,276
153,3156,2645
154,3156,3044
155,3156,2947
156,3156,69
157,3156,763
158,3156,440
159,4193,2605
160,4193,1943
161,4193,49
162,4193,2923
163,4193,861
164,4193,231
165,4193,861
166,4193,920
167,4193,1144
168,4193,1761
169,4193,760
170,4193,1074
171,4193,2549
172,4193,2524
173,4193,257
174,4193,139
175,4193,569
176,4193,83
177,4193,430
178,4193,2362
179,4193,2760
180,4193,2501
181,4193,802
182,4193,2424
183,4193,2737
184,4193,2409
185,1803,1948
186,1803,1565
187,1803,1681
188,1803,861
189,1803,213
190,1803,1174
191,1803,2814
192,1803,119
193,1803,1644
194,1803,547
195,1803,2990
196,1803,1656
197,1803,1195
198,1803,2709
199,1803,929
200,1803,2153
201,1803,1843
202,1803,139
203,1803,1231
204,1803,2168
205,1803,859
206,1803,2362
207,1803,2539
208,1803,750
209,1803,1570
210,1803,2285
211,1803,1113
212,1803,3143
213,1803,2265
214,1803,69
215,1803,2679
216,2468,2248
217,2468,433
218,2468,586
219,2468,656
220,2468,861
221,2468,2433
222,2468,3164
223,2468,920
224,2468,224
225,2468,3097
226,2468,2510
227,2468,2549
228,2468,2524
229,2468,2734
230,2468,1108
231,2468,1391
232,2468,83
233,2468,569
234,2468,1147
235,2468,3051
236,2468,318
237,2468,2501
238,2468,2424
239,2468,3044
240,2468,2737
241,2468,946
242,2468,2184
243,2468,1505
244,2468,440
245,289,308
246,289,3152
247,289,2197
248,289,507
249,289,2928
250,289,2738
251,289,48
252,289,920
253,289,224
254,289,3097
255,289,1155
256,289,1607
257,289,588
258,289,1108
259,289,257
260,289,2709
261,289,2153
262,289,1213
263,289,928
264,289,569
265,289,3054
266,289,139
267,289,859
268,289,2168
269,289,803
270,289,1570
271,289,1796
272,289,276
273,289,436
274,289,1530
275,289,502
276,289,763
277,3055,1121
278,3055,433
279,3055,2833
280,3055,861
281,3055,2297
282,3055,861
283,3055,920
284,3055,224
285,3055,3097
286,3055,1132
287,3055,1028
288,3055,802
289,3055,3044
290,3055,2362
291,922,2665
292,922,1535
293,922,499
294,922,653
295,922,2668
296,922,1649
297,922,920
298,922,1144
299,922,1761
300,922,760
301,922,2549
302,922,2524
303,922,83
304,922,569
305,922,2384
306,922,2501
307,922,2424
308,922,2737
309,2811,2554
310,2811,476
311,2811,262
312,2811,653
313,2811,1569
314,2811,48
315,2811,920
316,2811,1144
317,2811,1761
318,2811,2386
319,2811,588
320,2811,635
321,2811,139
322,2811,569
323,2811,1912
