,first,second,jaccard_coeff,overlap_coeff,jaccard_genre_sim
1392,770,3911,0.089552239,0.285714298,0.009140768
1408,724,3347,0.0,0.0,0.0
1984,598,2350,0.007042253,0.190476194,0.025089607
2112,477,97,0.0,0.0,0.003810976
4928,697,3862,0.0,0.0,0.001
10288,693,49,0.0,0.0,0.019346518
10318,57,0,0.021739131,0.150000006,0.003067485
10320,108,3545,0.126373634,0.230000004,0.025667004
10350,651,4058,0.0,0.0,0.0
10352,391,4033,0.0,0.0,0.002336449
10368,395,715,0.045454547,0.416666657,0.028488852
10369,395,1562,0.009259259,0.083333336,0.009873617
10370,395,2373,0.074074075,0.166666672,0.010827533
10371,395,3012,0.025641026,0.083333336,0.003412969
10400,414,297,0.015706806,0.1875,0.001613771
10448,304,861,0.094594598,0.304347813,0.032544378
10480,568,1064,0.001968504,0.142857149,0.022727273
10496,598,1304,0.003552398,0.142857149,0.024886878
10512,246,598,0.005119454,0.078947365,0.01303781
10528,13,3981,0.0,0.0,0.00137836
10576,153,309,0.011764706,0.142857149,0.008204792
10688,446,184,0.0,0.0,0.011340206
10704,697,568,0.009259259,0.116279073,0.003956479
10720,273,2127,0.0,0.0,0.008532424
10736,459,4250,0.024054984,0.411764711,0.012931035
10768,200,251,0.0,0.0,0.018846694
10784,598,4192,0.0,0.0,0.014446228
10800,718,382,0.023255814,0.047619049,0.013840831
10816,568,697,0.009259259,0.116279073,0.003956479
10832,770,273,0.155844152,0.32432431,0.029023746
10864,770,3837,0.025316456,0.068965517,0.038162544
10912,705,3205,0.006289308,0.046511628,0.006677796
10928,251,2459,0.0,0.0,0.001452644
10944,108,3422,0.044642858,0.294117659,0.008801625
10992,98,2243,0.015810277,0.190476194,0.03150912
11008,568,1993,0.0,0.0,0.0
11024,635,3583,0.039999999,0.25,0.003577817
11056,382,2276,0.039999999,0.260869563,0.002511301
11072,780,108,0.018348623,0.181818187,0.004556607
11088,646,2218,0.010652463,0.615384638,0.005167959
11104,172,3483,0.010309278,0.033333335,0.005347594
11200,646,4056,0.001335114,0.25,0.025440313
11232,190,3012,0.010416667,0.035714287,0.001814882
11264,174,3972,0.0,0.0,0.006730428
11280,583,1309,0.0,0.0,0.001855288
11296,568,4075,0.001919386,0.050000001,0.012048192
11312,106,3205,0.003508772,0.111111112,0.008883249
11344,97,3916,0.024590164,0.15384616,0.001587302
11360,269,2022,0.0,0.0,0.004024145
11424,620,1702,0.0,0.0,0.003674782
11425,620,2021,0.0,0.0,0.007203962
11456,91,2268,0.10958904,0.235294119,0.009345794
11472,684,251,0.019607844,0.064516127,0.011851016
11488,646,348,0.009114583,0.241379306,0.005555556
11504,208,109,0.007481297,0.600000024,0.005586592
11600,584,3921,0.0,0.0,0.006756757
11601,587,2943,0.03125,0.142857149,0.002994012
11644,598,1378,0.001785714,0.100000001,0.007792208
11712,297,414,0.015706806,0.1875,0.001613771
11760,495,4198,0.017857144,0.052631579,0.006666667
11904,273,770,0.155844152,0.32432431,0.029023746
11984,715,2373,0.052631579,0.352941185,0.013358778
12016,714,598,0.001779359,0.083333336,0.012244898
12080,652,325,0.0,0.0,0.009615385
12096,10,3102,0.044943821,0.121212125,0.003031834
12097,10,3422,0.0,0.0,0.003835091
12112,210,646,0.056878306,0.811320782,0.005617978
12192,264,505,0.032258064,0.090909094,0.006531816
12208,176,2554,0.25,0.5,0.002749771
12256,337,1867,0.029411765,0.071428575,0.003007519
12272,311,598,0.005357143,0.25,0.023578363
12288,61,2535,0.064171121,0.75,0.004744333
12320,251,200,0.0,0.0,0.018846694
12384,743,108,0.151785716,0.586206913,0.012885724
12400,569,4144,0.078947365,0.214285716,0.012082445
12416,309,153,0.011764706,0.142857149,0.008204792
12528,598,714,0.001779359,0.083333336,0.012244898
12544,693,2321,0.00862069,0.111111112,0.015384615
12560,336,396,0.015873017,0.035714287,0.003164557
12576,646,864,0.006622517,0.357142866,0.029567854
12592,16,2190,0.0,0.0,0.005785921
12656,108,1927,0.047619049,0.5,0.014649459
12657,108,2535,0.24669604,0.560000002,0.018944521
12752,68,1143,0.0,0.0,0.001512859
12768,770,1189,0.171428576,0.400000006,0.03666997
12784,636,604,0.007692308,0.06666667,0.004454343
12848,222,598,0.005309734,0.176470593,0.025365854
12880,97,382,0.021834061,0.217391297,0.028952505
12881,97,477,0.0,0.0,0.003810976
12928,97,1550,0.06666667,0.156028375,0.003197442
12960,348,646,0.009114583,0.241379306,0.005555556
12992,222,2287,0.068965517,0.142857149,0.015527951
12993,222,3080,0.036036037,0.235294119,0.019567456
13056,556,505,0.0,0.0,0.040967226
13072,431,1581,0.0,0.0,0.00378583
13120,61,907,0.022573363,0.625,0.010178117
13200,0,57,0.021739131,0.150000006,0.003067485
13201,0,598,0.008833922,0.25,0.014136905
13202,0,1302,0.023809524,0.150000006,0.01094491
13264,246,2129,0.021739131,0.111111112,0.009268795
13360,662,108,0.053435113,0.184210524,0.013531353
13376,6,1322,0.0,0.0,0.003802281
13520,675,2824,0.003773585,0.166666672,0.0
13568,210,3226,0.024691358,0.06666667,0.020979021
13600,319,604,0.009118541,0.200000003,0.001138952
13616,508,1686,0.0,0.0,0.005287508
13776,437,3545,0.08510638,0.25,0.057617188
