,degree,cc
0,23,0.039525691699604744
4076,19,0.07602339181286549
29861,41,0.12439024390243902
53717,7,0.047619047619047616
23820,21,0.08095238095238096
39945,57,0.03383458646616541
22224,29,0.10344827586206896
17332,42,0.03368176538908246
22600,9,0.16666666666666666
30409,13,0.01282051282051282
11699,56,0.15714285714285714
48006,3,0.0
13275,47,0.0545790934320074
6728,17,0.2647058823529412
8087,200,0.007386934673366834
49668,24,0.06884057971014493
41890,27,0.09686609686609686
4110,15,0.0761904761904762
9441,53,0.020319303338171262
47335,27,0.21652421652421652
37629,20,0.13157894736842105
3591,49,0.0977891156462585
22954,28,0.042328042328042326
6185,38,0.06401137980085349
1,11,0.05454545454545454
8670,6,0.26666666666666666
21767,9,0.1111111111111111
41815,6,0.0
49744,11,0.01818181818181818
10065,32,0.020161290322580645
46613,9,0.1388888888888889
20376,14,0.0
203,12,0.015151515151515152
14646,13,0.16666666666666666
84,25,0.07333333333333333
53990,19,0.08771929824561403
2,4,0.0
42452,27,0.05698005698005698
27264,17,0.08088235294117647
43274,14,0.14285714285714285
24848,42,0.023228803716608595
3,21,0.23809523809523808
50166,28,0.14285714285714285
47979,5,0.1
34959,28,0.17195767195767195
17210,10,0.6888888888888889
22144,43,0.03211517165005537
1858,31,0.07956989247311828
45565,34,0.19073083778966132
17353,6,0.26666666666666666
2330,52,0.07239819004524888
42519,8,0.39285714285714285
6587,8,0.42857142857142855
49502,18,0.2679738562091503
52855,7,0.14285714285714285
53721,17,0.375
42742,4,0.16666666666666666
52662,20,0.3
11044,7,0.0
10027,7,0.14285714285714285
11451,18,0.1568627450980392
13702,71,0.03420523138832998
22237,19,0.3157894736842105
4,33,0.125
40648,37,0.12912912912912913
8671,8,0.17857142857142858
34449,6,0.0
8991,87,0.12028869286287089
43353,9,0.08333333333333333
44829,60,0.18531073446327684
24133,92,0.01743908265647396
21512,74,0.15290633098852277
26495,81,0.12283950617283951
31863,6,0.2
7915,27,0.017094017094017096
27958,56,0.13246753246753246
52689,18,0.10457516339869281
53686,22,0.06926406926406926
1468,7,0.047619047619047616
9224,19,0.06432748538011696
1276,5,0.2
23901,124,0.06071334906897456
30687,15,0.06666666666666667
28544,28,0.14814814814814814
35187,6,0.06666666666666667
4062,17,0.08823529411764706
15048,37,0.15915915915915915
27110,32,0.1310483870967742
7989,8,0.03571428571428571
38601,32,0.1592741935483871
3964,84,0.13367756741250716
23224,112,0.07931145431145431
47353,12,0.07575757575757576
32117,9,0.1388888888888889
14732,39,0.12955465587044535
15155,14,0.12087912087912088
47349,60,0.09830508474576272
5,3,0.0
5258,29,0.0665024630541872
19964,7,0.047619047619047616
17304,9,0.1111111111111111
6,11,0.10909090909090909
12431,3,0.3333333333333333
1900,20,0.042105263157894736
12944,19,0.029239766081871343
6654,16,0.025
23855,19,0.09941520467836257
22317,19,0.03508771929824561
24621,15,0.12380952380952381
1051,16,0.058333333333333334
8650,20,0.02631578947368421
26837,16,0.016666666666666666
31065,13,0.07692307692307693
7,16,0.18333333333333332
50470,46,0.08599033816425121
7232,21,0.07142857142857142
19057,50,0.14285714285714285
11726,32,0.14919354838709678
7527,58,0.036297640653357534
29543,7,0.14285714285714285
21850,11,0.4909090909090909
45501,27,0.21082621082621084
38873,10,0.7333333333333333
52982,74,0.10699740836727138
39928,22,0.15584415584415584
45561,74,0.10736764161421695
32948,14,0.4725274725274725
30325,13,0.08974358974358974
26502,30,0.17471264367816092
40879,11,0.10909090909090909
8,6,0.06666666666666667
48199,32,0.14112903225806453
11420,46,0.03671497584541063
14768,66,0.061072261072261075
7090,100,0.04808080808080808
40002,46,0.09178743961352658
46603,41,0.10121951219512196
9,13,0.1794871794871795
53252,21,0.10476190476190476
32785,31,0.15913978494623657
12847,79,0.05387861084063616
45435,46,0.1072463768115942
34525,29,0.09852216748768473
58,29,0.25862068965517243
6104,23,0.19367588932806323
32895,51,0.25333333333333335
28515,55,0.09427609427609428
23028,10,0.0
36022,17,0.49264705882352944
53154,34,0.23707664884135474
37240,25,0.2833333333333333
10,13,0.6153846153846154
42088,20,0.2789473684210526
40170,19,0.2046783625730994
3537,38,0.07681365576102418
54274,16,0.24166666666666667
2160,20,0.2736842105263158
7289,21,0.22857142857142856
23138,32,0.09879032258064516
45216,23,0.1422924901185771
8067,20,0.2789473684210526
14358,61,0.09508196721311475
48491,37,0.11411411411411411
19895,21,0.3476190476190476
11,87,0.07618283881315156
12611,37,0.1066066066066066
16288,15,0.11428571428571428
10526,17,0.022058823529411766
14147,34,0.10695187165775401
24970,29,0.009852216748768473
21789,36,0.1492063492063492
21791,17,0.14705882352941177
16951,25,0.11333333333333333
31280,38,0.012802275960170697
15893,69,0.14279624893435636
31087,64,0.14087301587301587
228,35,0.13949579831932774
31701,14,0.02197802197802198
50468,34,0.05525846702317291
1410,40,0.20512820512820512
41188,8,0.03571428571428571
32751,47,0.12395929694727105
25218,54,0.13556953179594688
48861,28,0.28835978835978837
15918,39,0.14709851551956815
36943,67,0.11307100859339665
8244,27,0.11965811965811966
1686,60,0.17966101694915254
10986,32,0.13709677419354838
12032,43,0.10409745293466224
33897,22,0.03896103896103896
19230,111,0.0475020475020475
30293,122,0.10418642460371223
43541,7,0.14285714285714285
34885,74,0.12254720473898556
34343,56,0.09090909090909091
20210,46,0.1497584541062802
40461,34,0.16755793226381463
23074,76,0.10596491228070175
1515,47,0.0971322849213691
33051,36,0.09682539682539683
49837,29,0.12561576354679804
42465,101,0.11544554455445545
16160,23,0.2845849802371542
43789,13,0.02564102564102564
4807,38,0.27311522048364156
49746,72,0.11424100156494522
24229,29,0.054187192118226604
21255,32,0.10685483870967742
16274,66,0.04801864801864802
54351,47,0.09898242368177614
38560,70,0.1606625258799172
50530,109,0.11688752973156642
49868,53,0.13352685050798258
28230,38,0.09388335704125178
15793,23,0.06719367588932806
37710,126,0.0054603174603174605
39866,36,0.10793650793650794
32906,57,0.18546365914786966
13588,47,0.13691026827012026
43578,36,0.17777777777777778
32286,31,0.2129032258064516
30879,118,0.07677821237143272
8774,7,0.0
8558,96,0.10175438596491228
7745,24,0.27898550724637683
36654,33,0.30492424242424243
9600,40,0.18846153846153846
2251,28,0.25396825396825395
29245,27,0.18803418803418803
8571,29,0.07635467980295567
48997,37,0.17567567567567569
14654,87,0.11226944667201283
46738,61,0.16557377049180327
16474,49,0.13350340136054423
44308,51,0.03686274509803922
44538,44,0.14587737843551796
48791,27,0.07407407407407407
16980,31,0.09247311827956989
4839,36,0.13968253968253969
30634,75,0.08684684684684685
6311,64,0.10267857142857142
18519,35,0.08571428571428572
7913,35,0.31596638655462184
21138,24,0.018115942028985508
14263,45,0.10404040404040404
47462,3,0.0
10934,32,0.03024193548387097
21350,62,0.08831306187202538
49858,33,0.10795454545454546
12,4,0.0
51158,6,0.26666666666666666
42829,3,0.0
27771,7,0.19047619047619047
48855,6,0.0
44854,18,0.09803921568627451
1520,36,0.08571428571428572
38900,26,0.24
115,35,0.0453781512605042
49186,28,0.17195767195767195
41930,103,0.0719588806396345
13041,22,0.07792207792207792
25505,9,0.05555555555555555
32325,31,0.060215053763440864
9560,13,0.15384615384615385
2485,13,0.15384615384615385
27608,11,0.03636363636363636
26126,11,0.09090909090909091
37996,8,0.03571428571428571
29011,6,0.0
6957,73,0.09817351598173515
52258,30,0.12643678160919541
19389,72,0.023865414710485134
26446,10,0.022222222222222223
25852,9,0.027777777777777776
5540,28,0.17989417989417988
38159,9,0.027777777777777776
41650,9,0.08333333333333333
20274,22,0.1341991341991342
27794,6,0.0
40594,11,0.01818181818181818
51926,9,0.0
36925,23,0.03162055335968379
11596,21,0.04285714285714286
53954,5,0.0
25479,7,0.047619047619047616
13736,6,0.0
26879,17,0.007352941176470588
33165,96,0.030043859649122807
14004,18,0.0718954248366013
14,13,0.14102564102564102
50055,6,0.0
21325,17,0.029411764705882353
43845,15,0.0761904761904762
12656,30,0.08275862068965517
16317,35,0.0453781512605042
47011,19,0.18128654970760233
45973,11,0.0
412,42,0.07781649245063879
52702,15,0.0761904761904762
49691,27,0.07407407407407407
32299,17,0.1323529411764706
31407,20,0.1631578947368421
15,2,0.0
52246,5,0.0
41271,30,0.13333333333333333
16,13,0.038461538461538464
14359,27,0.08831908831908832
50275,22,0.008658008658008658
12603,21,0.16666666666666666
28100,24,0.04710144927536232
40813,16,0.041666666666666664
1807,22,0.047619047619047616
37511,9,0.027777777777777776
1702,17,0.007352941176470588
2307,23,0.023715415019762844
19866,15,0.009523809523809525
46714,14,0.08791208791208792
24447,18,0.0392156862745098
17,7,0.047619047619047616
13696,5,0.0
614,10,0.044444444444444446
2956,50,0.04244897959183674
21678,50,0.14285714285714285
20518,25,0.10333333333333333
7866,24,0.17391304347826086
17118,18,0.1830065359477124
18,95,0.0658454647256439
6108,37,0.12912912912912913
39725,60,0.14463276836158193
5467,33,0.17424242424242425
34496,33,0.2746212121212121
17569,35,0.12773109243697478
22660,88,0.11180773249738767
51567,51,0.02196078431372549
44612,37,0.15465465465465467
11402,24,0.09420289855072464
27726,32,0.1532258064516129
41856,43,0.07862679955703211
11190,40,0.16538461538461538
7414,7,0.047619047619047616
20,47,0.09250693802035152
476,10,0.28888888888888886
14741,83,0.060828680575962385
4505,24,0.050724637681159424
31316,51,0.05176470588235294
31365,18,0.3660130718954248
12875,62,0.11686938127974617
12674,46,0.11690821256038647
27622,54,0.03773584905660377
21644,60,0.10903954802259887
28607,43,0.10188261351052048
50704,54,0.0803633822501747
53722,49,0.23979591836734693
14546,81,0.08611111111111111
2927,41,0.04390243902439024
3940,38,0.1721194879089616
4906,28,0.09523809523809523
35659,48,0.08599290780141844
49106,51,0.08313725490196078
32213,32,0.13709677419354838
6401,88,0.09221525600835946
45076,44,0.07188160676532769
12280,31,0.14623655913978495
29050,37,0.042042042042042045
17223,28,0.021164021164021163
29493,18,0.16993464052287582
11239,83,0.08051719071407581
13752,44,0.13636363636363635
22944,78,0.1262071262071262
24197,41,0.07317073170731707
39896,36,0.12857142857142856
29061,51,0.16
1133,52,0.08144796380090498
22422,30,0.08735632183908046
27989,53,0.08853410740203194
44009,50,0.08244897959183674
30011,32,0.04435483870967742
41818,28,0.026455026455026454
45778,54,0.12858141160027953
11238,68,0.07682177348551361
31800,46,0.15458937198067632
7267,49,0.08503401360544217
51405,80,0.024050632911392405
47823,40,0.16794871794871793
42463,37,0.0990990990990991
41609,35,0.1226890756302521
5603,21,0.02857142857142857
15243,18,0.23529411764705882
17882,42,0.03368176538908246
10229,43,0.07308970099667775
372,35,0.03529411764705882
17301,95,0.03986562150055991
16445,42,0.0975609756097561
29115,143,0.06697527824288388
52192,32,0.14112903225806453
19402,34,0.20677361853832443
46075,49,0.07908163265306123
34235,28,0.2724867724867725
52909,80,0.039873417721518985
11288,64,0.052083333333333336
37761,83,0.07434616514839847
6487,39,0.18218623481781376
25138,78,0.09090909090909091
24395,37,0.1921921921921922
5431,20,0.30526315789473685
28822,44,0.056025369978858354
23032,39,0.12010796221322537
31433,52,0.11538461538461539
16047,21,0.047619047619047616
26841,121,0.02231404958677686
47454,20,0.26842105263157895
41297,24,0.2536231884057971
46998,30,0.23908045977011494
11347,120,0.054061624649859946
5447,34,0.06951871657754011
33142,28,0.08994708994708994
7786,36,0.14603174603174604
28316,49,0.08673469387755102
47682,36,0.19047619047619047
28942,29,0.08620689655172414
5693,41,0.1048780487804878
7581,52,0.12141779788838612
19,12,0.3484848484848485
44802,60,0.19717514124293786
1573,31,0.09462365591397849
43240,28,0.10582010582010581
34531,33,0.13825757575757575
38270,18,0.0457516339869281
19971,76,0.14175438596491227
2443,86,0.14500683994528044
19305,9,0.3055555555555556
47609,56,0.16818181818181818
15226,34,0.1657754010695187
1251,26,0.15692307692307692
49618,43,0.19490586932447398
21,19,0.04093567251461988
25080,56,0.025324675324675326
3722,16,0.03333333333333333
11085,16,0.03333333333333333
8873,80,0.02721518987341772
24394,3,0.0
11000,8,0.10714285714285714
3162,13,0.0641025641025641
12867,28,0.031746031746031744
12977,5,0.2
36572,25,0.14
3890,13,0.02564102564102564
103,1,0.0
14014,32,0.036290322580645164
3698,46,0.01642512077294686
22044,7,0.14285714285714285
21464,13,0.02564102564102564
50740,4,0.0
37721,17,0.051470588235294115
23022,8,0.0
22,83,0.07287687334704672
17846,25,0.29
19322,37,0.06606606606606606
40055,36,0.18571428571428572
37805,33,0.30113636363636365
12509,38,0.10241820768136557
8080,24,0.2318840579710145
28326,25,0.08
21213,69,0.0711849957374254
21898,49,0.23979591836734693
3106,34,0.18181818181818182
5587,36,0.10793650793650794
8101,41,0.06585365853658537
17511,44,0.06236786469344609
27847,25,0.03
28126,89,0.0778855975485189
27660,34,0.23351158645276293
48330,37,0.1831831831831832
53315,23,0.3675889328063241
35566,50,0.16244897959183674
28391,57,0.13157894736842105
51894,61,0.09562841530054644
17098,22,0.33766233766233766
18628,30,0.11494252873563218
27251,42,0.17073170731707318
32235,41,0.14512195121951219
2150,57,0.10401002506265664
16141,53,0.1574746008708273
37714,40,0.16666666666666666
39808,40,0.14743589743589744
23251,55,0.13804713804713806
42934,51,0.09333333333333334
4999,60,0.13898305084745763
47444,39,0.11875843454790823
42606,22,0.2597402597402597
46929,18,0.40522875816993464
16424,47,0.13876040703052728
11485,31,0.16344086021505377
11652,33,0.14204545454545456
15836,40,0.27692307692307694
18063,30,0.23218390804597702
39547,30,0.052873563218390804
45479,51,0.06823529411764706
1766,44,0.014799154334038054
26173,25,0.07
33437,43,0.07087486157253599
10725,51,0.02823529411764706
9114,20,0.21052631578947367
41965,38,0.20625889046941678
7622,34,0.1408199643493761
31035,50,0.054693877551020405
28730,61,0.0633879781420765
5228,25,0.28
53019,31,0.030107526881720432
43210,11,0.2
44975,38,0.08819345661450925
30972,28,0.09259259259259259
28640,29,0.16995073891625614
38531,37,0.16066066066066065
26918,50,0.24081632653061225
23832,93,0.08532024310425433
53169,40,0.03076923076923077
5297,34,0.0873440285204991
29610,25,0.18666666666666668
45981,118,0.05157178038533971
12295,56,0.09805194805194806
5293,31,0.05591397849462366
19673,37,0.02702702702702703
36062,51,0.16392156862745097
34409,50,0.14204081632653062
50591,38,0.22048364153627312
18211,65,0.11634615384615385
9321,46,0.035748792270531404
8711,37,0.15315315315315314
46226,69,0.0733162830349531
16278,34,0.1319073083778966
50888,66,0.14358974358974358
5919,27,0.11396011396011396
1137,28,0.17195767195767195
226,60,0.10564971751412429
53123,28,0.17989417989417988
