,degree,cc
0,13,0.07692307692307693
24208,6,0.13333333333333333
24445,5,0.1
18055,5,0.4
26575,8,0.14285714285714285
12596,3,0.3333333333333333
28092,11,0.03636363636363636
14484,3,0.3333333333333333
14809,8,0.0
47328,7,0.23809523809523808
32542,2,0.0
36124,15,0.06666666666666667
35300,16,0.09166666666666666
2570,3,0.3333333333333333
1,5,0.0
5463,12,0.13636363636363635
14232,2,0.0
4833,10,0.0
36852,10,0.044444444444444446
37620,6,0.06666666666666667
2,17,0.10294117647058823
45548,5,0.2
34493,6,0.2
7694,11,0.18181818181818182
27683,7,0.14285714285714285
41624,6,0.06666666666666667
21711,12,0.16666666666666666
9769,18,0.0718954248366013
34620,6,0.2
44553,10,0.1111111111111111
38102,10,0.06666666666666667
34634,17,0.11764705882352941
16672,12,0.07575757575757576
41498,4,0.16666666666666666
25355,3,1.0
33700,5,0.4
10124,17,0.10294117647058823
26250,5,0.1
3,13,0.07692307692307693
26518,12,0.15151515151515152
39718,6,0.0
13713,23,0.04743083003952569
34114,9,0.1388888888888889
19454,6,0.0
45114,11,0.05454545454545454
4429,15,0.02857142857142857
2573,24,0.10869565217391304
46000,7,0.14285714285714285
27675,10,0.06666666666666667
28430,15,0.13333333333333333
6627,8,0.0
46753,4,0.0
4,26,0.024615384615384615
45360,53,0.006531204644412192
12512,30,0.04827586206896552
39244,14,0.02197802197802198
46144,16,0.06666666666666667
13028,43,0.029900332225913623
1774,24,0.007246376811594203
42738,10,0.022222222222222223
15633,8,0.14285714285714285
28266,9,0.027777777777777776
31624,11,0.10909090909090909
13495,19,0.0
33403,15,0.0380952380952381
9077,11,0.2
2444,31,0.002150537634408602
27914,25,0.03333333333333333
7058,12,0.030303030303030304
2385,32,0.038306451612903226
45791,31,0.03225806451612903
43644,12,0.015151515151515152
41120,10,0.044444444444444446
33275,15,0.009523809523809525
25213,34,0.1657754010695187
3899,4,0.16666666666666666
39561,27,0.008547008547008548
13177,16,0.08333333333333333
26791,10,0.0
5,20,0.28421052631578947
17133,13,0.1282051282051282
6400,33,0.18371212121212122
38723,14,0.21978021978021978
10656,15,0.17142857142857143
11090,29,0.18472906403940886
30907,4,0.5
34224,15,0.29523809523809524
33870,9,0.3333333333333333
37933,23,0.21739130434782608
30022,26,0.13230769230769232
23361,13,0.07692307692307693
37363,13,0.3974358974358974
36551,13,0.358974358974359
15444,25,0.16333333333333333
14970,5,0.7
20687,4,0.3333333333333333
2006,6,0.26666666666666666
21101,11,0.32727272727272727
8047,14,0.23076923076923078
18702,21,0.24761904761904763
6,7,0.2857142857142857
15555,9,0.25
19884,7,0.14285714285714285
1384,12,0.15151515151515152
11296,13,0.02564102564102564
30595,13,0.10256410256410256
13352,10,0.022222222222222223
40934,14,0.07692307692307693
7,12,0.09090909090909091
29097,9,0.05555555555555555
28466,4,0.3333333333333333
1743,23,0.11857707509881422
31566,8,0.10714285714285714
3590,17,0.13970588235294118
583,16,0.06666666666666667
10783,3,0.6666666666666666
26843,1,0.0
8186,11,0.12727272727272726
8342,4,0.3333333333333333
35181,6,0.4
14679,23,0.08695652173913043
8,11,0.03636363636363636
31932,2,0.0
15161,7,0.09523809523809523
3348,3,0.0
35935,11,0.03636363636363636
14906,2,1.0
10399,8,0.0
32970,4,0.16666666666666666
19811,5,0.1
32635,12,0.09090909090909091
44111,8,0.0
38033,10,0.17777777777777778
9,11,0.14545454545454545
35004,7,0.09523809523809523
35711,19,0.011695906432748537
24486,24,0.09782608695652174
23531,9,0.5
17994,12,0.09090909090909091
21009,12,0.15151515151515152
7563,10,0.3111111111111111
45774,18,0.11764705882352941
43036,8,0.4642857142857143
34010,20,0.18421052631578946
730,22,0.004329004329004329
10,7,0.14285714285714285
42558,10,0.044444444444444446
24774,3,0.3333333333333333
42656,5,0.1
899,1,0.0
35605,20,0.05263157894736842
43238,10,0.08888888888888889
19031,33,0.01893939393939394
11,13,0.05128205128205128
42779,12,0.12121212121212122
32765,2,0.0
44990,26,0.04
44172,14,0.02197802197802198
22618,35,0.0453781512605042
21470,14,0.14285714285714285
23542,19,0.0935672514619883
1008,9,0.027777777777777776
23076,50,0.031020408163265307
1489,26,0.043076923076923075
5298,13,0.0641025641025641
23483,6,0.0
42089,27,0.06267806267806268
