,degree,cc
0,3,0.0
37825,1,0.0
17224,28,0.03439153439153439
6356,8,0.03571428571428571
1,10,0.06666666666666667
18053,7,0.0
31265,19,0.005847953216374269
28257,4,0.0
41010,27,0.07122507122507123
19010,31,0.043010752688172046
10785,7,0.047619047619047616
41676,25,0.07666666666666666
5800,1,0.0
1979,8,0.0
11621,70,0.03561076604554866
2,2,0.0
4661,12,0.045454545454545456
35935,6,0.0
3,12,0.15151515151515152
22504,3,0.0
27665,13,0.10256410256410256
13675,17,0.23529411764705882
9462,8,0.03571428571428571
20943,4,0.0
5842,11,0.2
36937,16,0.1
10824,7,0.19047619047619047
13371,25,0.11333333333333333
5775,40,0.06923076923076923
39603,5,0.1
35513,8,0.17857142857142858
4,2,0.0
35041,14,0.2967032967032967
16026,6,0.06666666666666667
5,9,0.1111111111111111
17311,6,0.26666666666666666
886,9,0.19444444444444445
5112,82,0.00993676603432701
21465,39,0.06342780026990553
31989,9,0.1388888888888889
10076,14,0.10989010989010989
14587,7,0.2857142857142857
11388,2,0.0
8650,8,0.03571428571428571
6,1,0.0
7640,29,0.007389162561576354
7,10,0.1111111111111111
34808,25,0.16666666666666666
37314,8,0.2857142857142857
22280,31,0.0967741935483871
14353,17,0.125
6950,5,0.0
2759,14,0.06593406593406594
27931,18,0.10457516339869281
38148,9,0.05555555555555555
19949,14,0.13186813186813187
39987,9,0.0
8,2,0.0
22889,3,0.0
34909,8,0.14285714285714285
9,2,0.0
15747,2,0.0
15691,3,0.0
10,25,0.043333333333333335
10338,4,0.0
26732,7,0.0
24103,14,0.0
31127,65,0.041826923076923074
23917,13,0.07692307692307693
20276,22,0.03463203463203463
39527,6,0.06666666666666667
15609,5,0.1
36093,15,0.02857142857142857
5090,5,0.1
30778,9,0.2222222222222222
8486,4,0.3333333333333333
18950,39,0.0796221322537112
30882,1,0.0
1991,29,0.0812807881773399
29687,9,0.027777777777777776
4360,4,0.16666666666666666
10972,2,0.0
34750,9,0.1388888888888889
31807,4,0.0
12657,8,0.07142857142857142
7670,7,0.047619047619047616
27741,8,0.07142857142857142
32176,11,0.05454545454545454
2821,4,0.16666666666666666
11,3,0.0
4125,6,0.06666666666666667
27819,25,0.09666666666666666
35406,26,0.03076923076923077
12,3,0.6666666666666666
21484,5,0.3
3308,4,0.3333333333333333
29938,2,1.0
14,6,0.06666666666666667
20407,10,0.044444444444444446
20243,6,0.0
3099,4,0.16666666666666666
12199,2,0.0
35966,4,0.16666666666666666
35945,18,0.0196078431372549
15,2,1.0
8827,4,0.16666666666666666
34585,3,0.3333333333333333
20233,5,0.1
20136,20,0.06842105263157895
24550,23,0.06324110671936758
40536,6,0.06666666666666667
40237,11,0.05454545454545454
4369,10,0.17777777777777778
17,2,0.0
