,degree,cc
0,1,0.0
18427,51,0.02431372549019608
1,34,0.48128342245989303
21708,195,0.14464710547184775
22208,205,0.12266857962697274
22171,330,0.08179054987565626
6829,27,0.5527065527065527
16590,87,0.27051590483827853
20135,140,0.1748201438848921
8894,52,0.2993966817496229
15785,147,0.22188053303513186
10281,13,0.7307692307692307
22265,226,0.14300884955752213
7136,25,0.6
22405,41,0.3439024390243902
10379,468,0.06648181701714892
13737,62,0.31464833421470123
8533,36,0.43333333333333335
14344,50,0.3902040816326531
2812,45,0.4222222222222222
5755,68,0.3217734855136084
16260,26,0.40615384615384614
15026,42,0.5075493612078978
17370,193,0.18167098445595856
17460,66,0.2909090909090909
8049,193,0.16806994818652848
5307,122,0.19943097141308766
4987,99,0.24572253143681716
18304,25,0.12
12305,67,0.10900045228403438
19743,678,0.0425005337620859
20024,128,0.0968257874015748
21729,659,0.0426823362283279
10554,56,0.24675324675324675
11557,72,0.1564945226917058
5228,64,0.2996031746031746
9934,71,0.2861167002012072
2,12,0.6515151515151515
9048,14,0.4945054945054945
6353,23,0.2766798418972332
2629,2,0.0
11537,22,0.36796536796536794
13205,20,0.37894736842105264
22304,20,0.4052631578947368
17728,9,0.6111111111111112
19337,14,0.4175824175824176
126,23,0.3359683794466403
17554,11,0.5272727272727272
8495,17,0.49264705882352944
5857,11,0.7636363636363637
3,10,0.5111111111111111
16742,21,0.14761904761904762
293,59,0.18176504967855056
5826,36,0.2126984126984127
3479,22,0.24242424242424243
19753,32,0.2540322580645161
17346,15,0.29523809523809524
10945,46,0.2
22338,46,0.06859903381642513
11319,14,0.45054945054945056
9654,8,0.6071428571428571
4,51,0.4203921568627451
13645,65,0.3375
20876,32,0.5282258064516129
11446,22,0.7445887445887446
16203,56,0.4266233766233766
2830,20,0.7105263157894737
2004,37,0.2057057057057057
20624,38,0.5789473684210527
21280,47,0.47733580018501387
1182,32,0.11290322580645161
21538,26,0.7384615384615385
1443,71,0.3436619718309859
11423,29,0.20935960591133004
187,142,0.23314354210368596
5730,16,0.8666666666666667
2983,35,0.6168067226890757
1489,22,0.004329004329004329
6823,43,0.540420819490587
17695,112,0.12451737451737452
11102,158,0.17237765056841087
6390,64,0.07879428873611846
17242,20,0.7842105263157895
10018,32,0.6633064516129032
5147,31,0.5978494623655914
6427,41,0.3
14628,70,0.47908902691511385
1882,30,0.6528735632183909
22401,33,0.6647727272727273
16128,61,0.36775956284153005
12872,69,0.3150042625745951
9263,55,0.463973063973064
14155,32,0.5463709677419355
21631,71,0.428169014084507
6329,21,0.8380952380952381
17507,18,0.30718954248366015
2282,73,0.4216133942161339
9706,57,0.36466165413533835
4738,94,0.32921528254404026
3676,80,0.34367088607594937
16972,139,0.20185590657908456
5356,31,0.6408602150537634
8514,45,0.5202020202020202
14332,16,0.85
7212,18,0.6666666666666666
8843,25,0.24333333333333335
1879,26,0.2923076923076923
1377,98,0.3242162844519251
1997,17,0.8602941176470589
7813,20,0.6578947368421053
3891,50,0.3485714285714286
2732,76,0.15368421052631578
4109,33,0.625
5,22,0.3722943722943723
8288,22,0.39826839826839827
9206,9,0.6666666666666666
1840,23,0.1976284584980237
17845,10,0.6
17411,23,0.3438735177865613
21768,9,0.5277777777777778
15735,40,0.1782051282051282
18468,15,0.3047619047619048
21755,21,0.5904761904761905
16406,37,0.17717717717717718
14111,23,0.3241106719367589
20510,94,0.11484786090139557
945,95,0.19552071668533036
20271,30,0.22758620689655173
14862,148,0.14487957345100202
3726,42,0.10220673635307782
6946,20,0.3631578947368421
12902,30,0.22528735632183908
4808,37,0.34684684684684686
14241,18,0.4117647058823529
7106,11,0.7636363636363637
18497,16,0.5916666666666667
6,16,0.6333333333333333
18893,34,0.5989304812834224
1193,133,0.18888129414445204
4000,116,0.22788605697151423
12625,27,0.7321937321937322
290,174,0.1470334197063318
22261,32,0.43951612903225806
13966,83,0.2015868351454599
3300,133,0.19400774663932557
22403,148,0.1836734693877551
18782,42,0.5319396051103368
5066,35,0.573109243697479
17038,19,0.7192982456140351
3816,35,0.561344537815126
16052,266,0.09218328840970351
12645,63,0.3614951356886841
15644,163,0.1599636446262213
7,3,0.3333333333333333
3305,25,0.03333333333333333
12361,82,0.0957542908762421
18601,40,0.10897435897435898
8,3,0.3333333333333333
13872,27,0.10826210826210826
14205,67,0.08864767073722297
3975,11,0.38181818181818183
9,2,1.0
2773,144,0.28496503496503495
14497,650,0.06661135474694797
10,3,1.0
14,55,0.32255892255892255
11332,328,0.05471022600134258
13511,15,0.580952380952381
11,4,0.0
20092,36,0.10158730158730159
8106,22,0.11688311688311688
12130,24,0.11594202898550725
19489,46,0.2
12,6,0.2
4683,2,1.0
21430,12,0.045454545454545456
18391,2,0.0
18059,4,0.16666666666666666
6008,3,0.3333333333333333
19356,1,0.0
13,17,0.41911764705882354
22435,47,0.5494912118408881
1744,21,0.40476190476190477
395,31,0.25591397849462366
16399,92,0.3332537028189202
9001,41,0.3524390243902439
2280,121,0.1546831955922865
6113,50,0.24979591836734694
7235,15,0.5904761904761905
213,17,0.39705882352941174
7431,18,0.46405228758169936
501,15,0.3904761904761905
11971,26,0.27692307692307694
16282,15,0.42857142857142855
11209,83,0.2377314134587129
1494,89,0.11567926455566906
12762,81,0.3533950617283951
4253,17,0.5661764705882353
2904,26,0.37538461538461537
18062,72,0.2257433489827856
6037,6,0.8666666666666667
3848,11,0.6363636363636364
11034,27,0.5156695156695157
5458,333,0.11869098013676327
15323,31,0.36774193548387096
18512,188,0.1297644783251792
5822,19,0.5087719298245614
1041,70,0.24472049689440994
14392,13,0.6538461538461539
19837,44,0.379492600422833
20071,27,0.50997150997151
10622,35,0.32941176470588235
9946,32,0.3245967741935484
4328,47,0.2238667900092507
8002,78,0.2817182817182817
4502,275,0.20602521566025217
21323,77,0.22385509227614492
1187,11,0.6181818181818182
