,degree,cc
0,7,0.14285714285714285
14270,6,0.13333333333333333
16976,22,0.03896103896103896
12029,9,0.19444444444444445
3001,4,0.0
14581,3,0.0
14145,13,0.15384615384615385
25564,47,0.03700277520814061
1,72,0.023474178403755867
26065,3,0.6666666666666666
2514,4,0.16666666666666666
16675,1,0.0
19675,14,0.14285714285714285
34,6,0.2
190,5,0.4
2211,2,0.0
2003,30,0.020689655172413793
11290,10,0.06666666666666667
5011,2,0.0
24836,44,0.04334038054968287
18843,14,0.03296703296703297
10646,31,0.03870967741935484
22658,2,0.0
6133,1,0.0
21695,9,0.05555555555555555
23366,11,0.10909090909090909
20208,1,0.0
26238,3,0.0
16152,44,0.014799154334038054
24911,2,0.0
10314,3,0.0
17,22,0.06926406926406926
12734,3,0.6666666666666666
13802,14,0.14285714285714285
19211,2,1.0
3153,1,0.0
24435,12,0.030303030303030304
1370,10,0.15555555555555556
23544,2,1.0
25311,10,0.26666666666666666
11706,1,0.0
28238,28,0.09523809523809523
22673,2,1.0
3290,1,0.0
15292,14,0.054945054945054944
7618,2,1.0
8071,2,0.0
15355,13,0.08974358974358974
3364,10,0.08888888888888889
22616,14,0.08791208791208792
8884,9,0.16666666666666666
21365,1,0.0
19996,4,0.3333333333333333
24213,2,1.0
16211,1,0.0
9264,19,0.23976608187134502
18934,9,0.1388888888888889
875,2,0.0
24342,3,0.0
2039,16,0.075
16374,13,0.07692307692307693
5789,1,0.0
23558,3,0.0
26930,9,0.16666666666666666
9051,10,0.1111111111111111
25638,20,0.08421052631578947
23019,1,0.0
22630,23,0.07509881422924901
11329,3,0.6666666666666666
21500,1,0.0
6163,9,0.08333333333333333
11558,7,0.14285714285714285
3490,2,0.0
20689,11,0.09090909090909091
4069,4,0.16666666666666666
951,1,0.0
14603,5,0.0
14220,1,0.0
26277,6,0.4666666666666667
15057,2,1.0
22581,74,0.022584228063680118
2,9,0.0
26177,13,0.28205128205128205
9835,18,0.013071895424836602
14276,19,0.017543859649122806
10082,15,0.05714285714285714
3354,38,0.02702702702702703
18084,17,0.058823529411764705
32,9,0.1111111111111111
808,38,0.05547652916073969
24576,41,0.036585365853658534
3,9,0.1388888888888889
3585,32,0.038306451612903226
5607,11,0.2909090909090909
9093,11,0.03636363636363636
5150,27,0.04843304843304843
24280,43,0.132890365448505
12034,12,0.24242424242424243
3421,10,0.4222222222222222
16049,4,0.5
15401,24,0.06521739130434782
4,11,0.2727272727272727
1116,29,0.07389162561576355
5252,17,0.22794117647058823
16304,11,0.2727272727272727
10838,16,0.15
24023,25,0.06333333333333334
5203,5,0.0
14995,22,0.06493506493506493
23757,2,0.0
17462,5,0.8
6347,1,0.0
24122,77,0.07723855092276145
5,30,0.03218390804597701
2040,22,0.07792207792207792
19454,4,0.16666666666666666
13709,5,0.0
5786,15,0.05714285714285714
2518,79,0.04349237260629666
872,34,0.05169340463458111
4081,35,0.03865546218487395
24370,1,0.0
19435,2,0.0
1971,4,0.0
13491,14,0.06593406593406594
22487,5,0.1
11385,5,0.0
19171,25,0.14
8775,23,0.09486166007905138
14947,12,0.12121212121212122
11958,4,0.3333333333333333
14732,4,0.16666666666666666
11780,11,0.09090909090909091
28065,5,0.2
25982,6,0.4
23620,5,0.2
7224,10,0.08888888888888889
27927,20,0.19473684210526315
9798,5,0.0
23684,5,0.2
7029,11,0.21818181818181817
8596,19,0.10526315789473684
18753,18,0.0196078431372549
14974,10,0.022222222222222223
6,1,0.0
935,13,0.0
7,7,0.047619047619047616
17761,7,0.047619047619047616
5961,10,0.022222222222222223
21431,15,0.0380952380952381
13649,23,0.02766798418972332
22775,16,0.008333333333333333
24884,17,0.029411764705882353
9443,8,0.07142857142857142
8,5,0.2
10111,6,0.06666666666666667
21633,27,0.13675213675213677
21665,18,0.026143790849673203
6268,16,0.025
15515,3,0.3333333333333333
9,3,0.0
9375,5,0.0
2542,14,0.0989010989010989
27562,11,0.03636363636363636
10,10,0.0
6885,6,0.0
23165,10,0.06666666666666667
19601,36,0.06507936507936508
1676,10,0.0
18366,17,0.04411764705882353
10619,18,0.013071895424836602
3818,6,0.06666666666666667
26716,9,0.0
16702,13,0.01282051282051282
4711,16,0.025
11,1,0.0
25459,10,0.15555555555555556
12,4,0.16666666666666666
23475,1,0.0
18926,6,0.06666666666666667
26124,3,0.0
8766,9,0.08333333333333333
13,11,0.01818181818181818
12855,17,0.18382352941176472
19193,2,0.0
21577,32,0.056451612903225805
22973,16,0.008333333333333333
7626,24,0.06521739130434782
1379,16,0.06666666666666667
14835,22,0.08658008658008658
1613,45,0.03434343434343434
23372,50,0.08326530612244898
25684,9,0.05555555555555555
14832,8,0.10714285714285714
14,6,0.0
25844,1,0.0
13556,7,0.0
5393,14,0.03296703296703297
19287,12,0.07575757575757576
1030,10,0.13333333333333333
16486,1,0.0
15,1,0.0
1197,34,0.0196078431372549
16,4,0.3333333333333333
2156,5,0.1
2349,13,0.20512820512820512
8113,10,0.2
10711,9,0.2222222222222222
19507,2,1.0
8426,8,0.03571428571428571
8149,1,0.0
871,1,0.0
9036,5,0.9
432,3,0.3333333333333333
3343,2,1.0
17777,4,1.0
10051,4,1.0
11267,6,0.6
19949,1,0.0
1654,2,0.0
20013,2,1.0
450,2,0.0
27135,1,0.0
13333,2,0.0
27780,6,0.6666666666666666
18,6,0.06666666666666667
26476,40,0.04358974358974359
19419,11,0.05454545454545454
3197,26,0.04
4999,13,0.038461538461538464
13222,25,0.03666666666666667
18874,11,0.10909090909090909
19,1,0.0
18591,34,0.035650623885918005
20,9,0.027777777777777776
14017,17,0.022058823529411766
1489,12,0.09090909090909091
2964,6,0.06666666666666667
18732,7,0.09523809523809523
12596,10,0.0
28169,5,0.0
11214,9,0.1111111111111111
22656,5,0.0
11361,7,0.14285714285714285
21,2,0.0
10379,4,0.0
