,degree,cc
0,1,0.0
747,8,0.25
1,10,0.022222222222222223
4257,27,0.045584045584045586
2194,23,0.22529644268774704
580,1,0.0
6478,22,0.06926406926406926
1222,15,0.047619047619047616
5735,8,0.0
7146,4,0.16666666666666666
2204,25,0.2
126,6,0.0
2639,11,0.01818181818181818
2,7,0.19047619047619047
562,5,0.1
1492,8,0.5357142857142857
6,20,0.18947368421052632
5303,16,0.10833333333333334
7128,10,0.28888888888888886
4154,9,0.027777777777777776
5179,2,0.0
3,18,0.24183006535947713
1728,11,0.3090909090909091
4560,13,0.15384615384615385
5060,22,0.05194805194805195
1351,7,0.47619047619047616
6503,11,0.5272727272727272
7089,22,0.1341991341991342
4319,33,0.09848484848484848
6095,19,0.14619883040935672
272,4,0.0
4433,26,0.16615384615384615
2900,3,0.0
3381,38,0.18776671408250356
5943,6,0.06666666666666667
2107,11,0.38181818181818183
6940,12,0.30303030303030304
2013,11,0.18181818181818182
6046,17,0.3382352941176471
5823,26,0.14461538461538462
4,1,0.0
5770,5,0.5
5,1,0.0
5454,72,0.02543035993740219
5856,10,0.08888888888888889
667,35,0.16302521008403362
6180,19,0.30409356725146197
598,11,0.38181818181818183
870,8,0.32142857142857145
3079,11,0.4909090909090909
1834,19,0.12280701754385964
6283,7,0.19047619047619047
7340,10,0.2
7279,12,0.24242424242424243
342,8,0.39285714285714285
4405,1,0.0
1462,20,0.06842105263157895
1284,11,0.32727272727272727
1551,10,0.15555555555555556
3291,5,0.5
167,20,0.17894736842105263
7,8,0.03571428571428571
177,7,0.0
6243,1,0.0
7589,4,0.0
2854,119,0.021791767554479417
6931,13,0.47435897435897434
6250,6,0.0
428,1,0.0
2142,18,0.10457516339869281
8,1,0.0
1686,3,0.0
9,8,0.10714285714285714
4481,1,0.0
1795,50,0.02040816326530612
2660,3,0.0
6053,1,0.0
246,3,0.3333333333333333
3843,3,0.6666666666666666
6441,14,0.10989010989010989
366,3,0.3333333333333333
10,1,0.0
5489,6,0.06666666666666667
11,5,0.2
5240,6,0.2
618,7,0.19047619047619047
2412,10,0.28888888888888886
1325,12,0.15151515151515152
4919,20,0.17894736842105263
12,2,1.0
5274,102,0.056493884682585906
3807,23,0.08695652173913043
13,29,0.31773399014778325
1794,17,0.36764705882352944
3971,8,0.5
1223,33,0.42803030303030304
6152,5,0.4
5385,1,0.0
