,degree,cc
0,1,0.0
23977,32,0.09879032258064516
1,8,0.17857142857142858
34526,2,0.0
2370,40,0.17692307692307693
14683,106,0.03539982030548068
29982,489,0.03533474135908009
21142,689,0.026643770884666015
20363,405,0.03204987165383205
23830,34,0.049910873440285206
34035,2,0.0
6067,2,0.0
19720,39,0.044534412955465584
20183,3,0.0
3,5,0.0
4950,1,0.0
18029,29,0.08374384236453201
3358,20,0.09473684210526316
34935,29,0.09852216748768473
5916,19,0.19883040935672514
4,2,0.0
2865,3,0.0
9342,7,0.19047619047619047
5,1,0.0
27803,7085,0.0031992738015873237
6,6,0.3333333333333333
18612,19,0.11695906432748537
18876,302,0.03397064971067743
31890,9458,0.001413281690619859
17647,56,0.06168831168831169
18562,350,0.0356938190749079
7,8,0.32142857142857145
37493,105,0.06794871794871794
33643,534,0.012845106843462557
30199,667,0.012246129187658423
35773,3324,0.00412071645929095
11273,148,0.011858797573083288
12775,23,0.31620553359683795
21864,299,0.032928553792283
9051,1797,0.003654321171266637
34957,8,0.32142857142857145
21395,18,0.1437908496732026
9891,29,0.16995073891625614
9340,41,0.07926829268292683
31260,19,0.15204678362573099
14820,5,0.3
26666,331,0.04180170282889316
22516,12,0.3484848484848485
8,8,0.75
19253,1404,0.010838597795119535
11083,101,0.06891089108910892
23973,103,0.0909956215495907
36652,2343,0.0033907349070746193
10080,558,0.0208297137120905
14003,167,0.06298246879734506
4793,209,0.03915163783584836
9,7,0.23809523809523808
15477,14,0.07692307692307693
23914,22,0.2857142857142857
33129,2,1.0
27768,3,0.3333333333333333
19407,7,0.3333333333333333
30596,77,0.05809979494190021
10,66,0.07272727272727272
35842,12,0.06060606060606061
23589,967,0.006907020710356891
37280,13,0.1794871794871795
2078,1368,0.005441548274490175
23670,16,0.13333333333333333
32836,45,0.043434343434343436
34238,66,0.08857808857808858
19345,27,0.02849002849002849
19973,7,0.23809523809523808
29557,133,0.044201412622465255
33138,102,0.029314696175499904
