,degree,cc
198737924,28,1.0
220654721,28,1.0
208201738,194,0.7524170717376208
88664332,45,0.5373737373737374
8640526,28,1.0
56356372,28,1.0
183880473,163,0.36143300764977654
194617630,78,0.26706626706626707
185626278,28,1.0
8809394,28,1.0
193825984,303,0.6335322273949249
145838912,39,0.6734143049932524
182472899,103,0.4934323243860651
8998727,265,0.8177244139508291
3036107,28,1.0
127853262,28,1.0
209148366,28,1.0
207093714,54,0.43466107617051014
204969170,28,1.0
156443612,76,0.37894736842105264
12916961,69,0.5285592497868713
66842212,28,1.0
216446825,28,1.0
183097071,28,1.0
212660721,28,1.0
160810612,92,0.5891065456282848
200806774,28,1.0
154764282,28,1.0
14497407,39,0.6734143049932524
73498632,88,1.0
66999812,88,1.0
221126666,88,1.0
197747724,117,0.6248157972295904
91563022,88,1.0
10798095,88,1.0
201765390,88,1.0
204465678,88,1.0
207654954,868,0.4255763026273128
188889135,88,1.0
53159472,88,1.0
192814642,88,1.0
197681727,88,1.0
189163080,88,1.0
223143499,88,1.0
141761102,88,1.0
26324562,88,1.0
216567379,88,1.0
202135638,88,1.0
150355032,88,1.0
212232797,88,1.0
117939302,88,1.0
211518566,88,1.0
230659176,88,1.0
26285162,88,1.0
222579306,88,1.0
45382252,88,1.0
183766136,88,1.0
192131215,88,1.0
189705878,88,1.0
185636517,88,1.0
109335722,88,1.0
184418986,88,1.0
144256692,1002,0.2668549015854405
220919480,88,1.0
42441402,480,0.7002348643006263
238843578,88,1.0
183370428,88,1.0
13579455,88,1.0
35275462,88,1.0
205336779,88,1.0
184175830,88,1.0
218384086,88,1.0
198681310,88,1.0
151512802,88,1.0
195517167,88,1.0
182863105,88,1.0
213190404,88,1.0
14144267,88,1.0
238077203,88,1.0
221803801,88,1.0
235847459,88,1.0
56588072,88,1.0
44125492,88,1.0
127366452,88,1.0
80835382,88,1.0
26301242,88,1.0
222674749,88,1.0
200374078,88,1.0
221257542,88,1.0
174868302,88,1.0
27567952,88,1.0
217355604,88,1.0
205202788,186,0.4996803254867771
183871346,128,0.5675442913385826
