,degree,cc
0,7,0.5238095238095238
9206,1825,0.007239245373708243
7787,4259,0.006552587061510722
2145,1017,0.013444668973900386
2684,1716,0.015867126071207705
7275,987,0.015512000838486532
2498,932,0.012919330822457739
5358,546,0.017044728971334477
1,33,0.16477272727272727
5506,49,0.195578231292517
1753,21,0.24285714285714285
4361,71,0.10543259557344065
2984,65,0.16778846153846153
8978,78,0.1038961038961039
2900,15,0.12380952380952381
9151,17,0.18382352941176472
3193,19,0.17543859649122806
6160,34,0.11586452762923351
8209,60,0.1519774011299435
5682,11,0.3090909090909091
4992,18,0.47058823529411764
7668,43,0.16279069767441862
2058,45,0.11212121212121212
3164,13,0.15384615384615385
2560,123,0.20338531254165002
6009,49,0.13350340136054423
8040,31,0.06881720430107527
8873,83,0.0969732588892154
1578,41,0.1548780487804878
116,338,0.054676663213526946
4611,30,0.15862068965517243
3247,46,0.11304347826086956
9407,53,0.12191582002902758
3776,44,0.09513742071881606
4575,21,0.0761904761904762
4248,36,0.15079365079365079
7482,40,0.09358974358974359
3996,6,0.06666666666666667
2152,21,0.2761904761904762
7593,32,0.07661290322580645
2,19,0.2631578947368421
1638,1433,0.019354247642364535
7720,760,0.011164274322169059
421,79,0.011684518013631937
1276,886,0.034076851462167296
7496,188,0.1344294003868472
7278,429,0.07219571705553014
8366,61,0.12131147540983607
2794,107,0.044612943043554926
3363,293,0.03305437374351302
9080,94,0.18439716312056736
5822,74,0.15216586449463163
2980,893,0.020086472263092615
3722,357,0.03137884367230038
8287,723,0.062175530549457285
8803,1324,0.01898664803282844
6535,213,0.03755868544600939
2816,1333,0.027519267204188434
6480,40,0.16794871794871793
3,2,0.0
6522,205,0.03304638928742228
8608,3,0.0
4,13,0.38461538461538464
893,61,0.07759562841530054
654,149,0.06375838926174497
7685,410,0.05606774405152364
4042,540,0.02343159486016629
4313,269,0.05035232758142374
3384,21,0.18095238095238095
460,282,0.04888821584513263
7216,420,0.018922604841459256
4927,1246,0.02829552560160385
7804,16,0.21666666666666667
1901,648,0.0465777472475051
8747,28,0.20899470899470898
1355,70,0.11014492753623188
4461,149,0.06502811536368583
3633,259,0.08167968633084913
1150,71,0.15412474849094568
6164,30,0.12643678160919541
3177,27,0.26495726495726496
30,130,0.0469886702444842
798,91,0.17216117216117216
5458,189,0.09242373072160306
6119,79,0.24862057773450177
8334,31,0.14408602150537633
6,7,0.38095238095238093
3828,374,0.026264856417829135
7958,297,0.024752024752024752
8554,340,0.03971889640812077
343,262,0.06747389663946653
1550,269,0.02973977695167286
7,1,0.0
570,75,0.19207207207207208
8,14,0.17582417582417584
8996,2,0.0
4038,930,0.038605507135664435
8810,810,0.030264463062155685
9056,60,0.15310734463276837
7125,112,0.03812741312741313
6832,8,0.03571428571428571
7296,222,0.040479393420569894
342,29,0.13054187192118227
4213,4,0.3333333333333333
2998,340,0.04629533229220892
3374,9,0.3333333333333333
9,4,0.3333333333333333
5798,374,0.03416438474000373
7565,10,0.15555555555555556
130,291,0.017987913259864912
10,9,0.2222222222222222
6911,29,0.0960591133004926
1354,71,0.18873239436619718
2914,1357,0.019983783419524677
5351,16,0.06666666666666667
9236,2,1.0
5759,108,0.13707165109034267
8976,17,0.22794117647058823
527,50,0.22938775510204082
7281,15,0.3619047619047619
9270,28,0.19047619047619047
7913,670,0.024429422394752695
1283,40,0.12435897435897436
4590,60,0.0768361581920904
225,57,0.2337092731829574
2732,46,0.20966183574879227
82,435,0.06781079506329785
9029,20,0.11578947368421053
4300,146,0.03977326405290505
5058,38,0.17069701280227595
5846,306,0.031993999785706634
2364,61,0.1185792349726776
1625,84,0.1769936890418818
7968,329,0.10903328638149604
4530,246,0.060295337647254026
1184,43,0.1672203765227021
3421,29,0.04433497536945813
255,94,0.07412491420727522
3641,53,0.09796806966618288
4139,734,0.03975302125191907
6174,126,0.09371428571428571
2295,20,0.12631578947368421
9048,92,0.09316770186335403
11,80,0.07151898734177216
5379,50,0.07428571428571429
4484,18,0.1437908496732026
7516,52,0.23604826546003016
5477,10,0.2222222222222222
2549,36,0.20952380952380953
2867,42,0.11265969802555169
6540,77,0.10492139439507861
3901,38,0.13086770981507823
4408,32,0.14112903225806453
510,16,0.325
8448,37,0.1891891891891892
4847,34,0.11764705882352941
7996,52,0.23906485671191555
2268,107,0.11091518250749427
2347,67,0.13161465400271372
1101,35,0.19831932773109243
3055,16,0.21666666666666667
3555,9,0.4722222222222222
9349,10,0.08888888888888889
1402,310,0.06366008977972648
5266,30,0.08735632183908046
8252,26,0.24
674,99,0.12286126571840858
4722,81,0.2367283950617284
3221,80,0.06645569620253164
3859,12,0.18181818181818182
4500,119,0.06708446090300527
3634,82,0.15597711532670883
1185,6,0.4
8798,19,0.1871345029239766
3073,44,0.18921775898520085
3534,134,0.056110425317023906
2076,17,0.27205882352941174
8801,43,0.1638981173864895
7091,154,0.1484593837535014
3430,35,0.21176470588235294
6176,14,0.1978021978021978
1629,81,0.15246913580246912
326,18,0.3006535947712418
5805,38,0.25177809388335703
3999,75,0.18414414414414415
850,73,0.06354642313546423
7729,24,0.10869565217391304
1211,14,0.18681318681318682
6108,46,0.19710144927536233
6204,50,0.18857142857142858
