,degree,cc
6194,6,0.06666666666666667
255,6,0.13333333333333333
980,18,0.06535947712418301
2992,4,0.0
2507,22,0.0735930735930736
986,26,0.1076923076923077
4003,10,0.0
0,1,0.0
82,3,0.0
15,5,0.1
343,22,0.03463203463203463
4282,32,0.038306451612903226
5442,8,0.0
1162,13,0.15384615384615385
3401,465,0.007730812013348165
7106,4,0.0
6211,10,0.044444444444444446
6611,43,0.07087486157253599
1348,4,0.0
2239,10,0.06666666666666667
2,1,0.0
5842,336,0.016595593461265105
3,7,0.0
3363,18,0.09803921568627451
1277,15,0.08571428571428572
3739,60,0.07005649717514124
6882,6,0.06666666666666667
4947,5,0.1
5740,2,0.0
5550,12,0.030303030303030304
4,1,0.0
4087,78,0.015318015318015318
5,4,0.16666666666666666
2481,186,0.03586166811973263
5269,147,0.023576553909234927
1,26,0.027692307692307693
6,10,0.0
6072,10,0.06666666666666667
3996,29,0.13054187192118227
448,36,0.031746031746031744
1673,48,0.03546099290780142
3079,6,0.06666666666666667
436,3,0.0
2126,12,0.07575757575757576
743,4,0.16666666666666666
4115,14,0.07692307692307693
6286,11,0.14545454545454545
7,2,0.0
2787,6,0.0
1339,2,0.0
8,1,0.0
6926,10,0.15555555555555556
9,12,0.12121212121212122
3756,31,0.043010752688172046
1773,720,0.0036470406428681813
5945,140,0.027029804727646455
5424,6,0.13333333333333333
474,9,0.0
2872,62,0.15388683236382866
2439,81,0.06111111111111111
6121,47,0.16003700277520813
2352,137,0.04390296264491198
6168,54,0.11320754716981132
3258,63,0.05017921146953405
10,1,0.0
6269,3,0.0
11,4,0.3333333333333333
4291,21,0.3761904761904762
6536,14,0.12087912087912088
2054,23,0.3201581027667984
2677,36,0.15555555555555556
12,2,0.0
5237,3,0.3333333333333333
2176,1,0.0
13,12,0.09090909090909091
4198,22,0.0735930735930736
3322,32,0.16330645161290322
6553,17,0.11764705882352941
3418,23,0.03162055335968379
1615,27,0.06267806267806268
888,11,0.03636363636363636
1654,6,0.0
4945,23,0.05928853754940711
5630,9,0.05555555555555555
5032,18,0.11764705882352941
23,58,0.11857229280096794
2339,19,0.011695906432748537
6726,1,0.0
4949,691,0.006384362088131043
14,10,0.1111111111111111
615,11,0.07272727272727272
2779,85,0.026330532212885154
1089,54,0.09014675052410902
3846,15,0.01904761904761905
3815,48,0.11613475177304965
4302,2,0.0
3706,199,0.006091061367443277
5470,6,0.06666666666666667
4486,21,0.23809523809523808
2811,10,0.08888888888888889
3826,8,0.10714285714285714
1536,13,0.038461538461538464
1044,36,0.05555555555555555
1960,7,0.14285714285714285
4639,115,0.02303585049580473
5453,11,0.09090909090909091
4024,5,0.1
231,11,0.09090909090909091
2922,23,0.03557312252964427
2381,56,0.11103896103896103
954,2,0.0
6448,10,0.08888888888888889
1376,13,0.10256410256410256
660,5,0.0
2292,1,0.0
3532,13,0.0641025641025641
1883,151,0.015099337748344372
5468,13,0.1282051282051282
6716,155,0.05018852115626309
1132,8,0.07142857142857142
4710,21,0.10476190476190476
7051,14,0.03296703296703297
3180,6,0.0
3235,1,0.0
6343,11,0.2
5212,4,0.0
887,5,0.2
4406,182,0.007831947058466395
3241,12,0.24242424242424243
4319,11,0.07272727272727272
259,14,0.15384615384615385
3807,12,0.22727272727272727
1390,11,0.14545454545454545
1115,9,0.16666666666666666
16,5,0.3
2444,18,0.05228758169934641
5892,8,0.0
6315,43,0.06423034330011074
6079,11,0.12727272727272726
1752,5,0.5
104,4,0.16666666666666666
581,252,0.005217226332764181
7069,73,0.0319634703196347
6136,378,0.0038875556116935426
18,2,0.0
4140,91,0.011477411477411478
19,9,0.2777777777777778
485,97,0.05777491408934708
365,7,0.5714285714285714
3731,43,0.019933554817275746
4967,4,0.0
6682,10,0.08888888888888889
2819,14,0.16483516483516483
5146,26,0.036923076923076927
5358,8,0.5
3325,9,0.3055555555555556
20,7,0.09523809523809523
559,15,0.0761904761904762
4482,50,0.15591836734693879
2156,6,0.06666666666666667
7054,28,0.2619047619047619
2580,32,0.07862903225806452
6299,24,0.17391304347826086
3704,6,0.13333333333333333
21,7,0.14285714285714285
745,24,0.007246376811594203
