,degree,cc
0,2,1.0
1819,1022,0.01095583739513274
2840,22,0.11255411255411256
1,9,0.1111111111111111
1565,595,0.032447726565373626
1309,35,0.21176470588235294
1397,357,0.045258552859345984
2677,101,0.13841584158415843
3497,3,0.0
357,5,0.1
1492,1,0.0
4125,20,0.19473684210526315
1351,330,0.02018973933867551
2,8,0.14285714285714285
1437,12,0.12121212121212122
1728,240,0.018514644351464434
214,46,0.11690821256038647
485,158,0.04660162863823269
2753,45,0.06363636363636363
676,4,0.5
3719,1012,0.013214326206198222
3,24,0.27898550724637683
3830,226,0.05089478859390364
2504,72,0.18192488262910797
3387,147,0.15618302115366695
4528,44,0.23150105708245244
246,56,0.17987012987012987
1266,66,0.10116550116550116
982,572,0.027965904498303797
596,612,0.021388915631719137
291,237,0.12304226560823857
2480,299,0.06581221521402437
1676,122,0.11637989432326243
1450,59,0.18001168907071888
79,125,0.10529032258064516
2112,267,0.021542620596434907
222,142,0.12875836579762262
2558,157,0.14592520006532744
574,290,0.0911108459611025
1376,324,0.0572182089209953
2306,262,0.054751250329033954
4642,98,0.13002314327792974
1988,123,0.05930960948953752
2922,408,0.03981789275906923
896,187,0.08998907480880916
4,32,0.09879032258064516
2213,44,0.11945031712473574
7,5,0.0
1169,29,0.16995073891625614
963,94,0.14870738961336077
2647,17,0.13970588235294118
2182,21,0.23333333333333334
1011,8,0.17857142857142858
1264,266,0.09184281458362889
3984,49,0.39200680272108845
483,145,0.043773946360153256
4397,447,0.04526439341499383
1480,9,0.1388888888888889
3767,65,0.19807692307692307
1447,6,0.26666666666666666
2771,22,0.19913419913419914
3737,21,0.17142857142857143
1451,25,0.2
1827,90,0.2324594257178527
4423,27,0.2535612535612536
1121,59,0.15604909409701928
2414,10,0.13333333333333333
4217,34,0.0962566844919786
1067,19,0.21052631578947367
3675,1,0.0
1513,30,0.17011494252873563
4121,51,0.14980392156862746
1083,19,0.14619883040935672
2853,94,0.14047128803477466
793,79,0.26582278481012656
549,24,0.21739130434782608
3159,9,0.08333333333333333
5,17,0.3602941176470588
3655,54,0.17330538085255065
3022,21,0.23809523809523808
570,139,0.12668126368470442
2348,14,0.12087912087912088
2273,17,0.47058823529411764
4001,69,0.1628303495311168
4228,18,0.29411764705882354
3762,11,0.38181818181818183
2483,30,0.12643678160919541
111,123,0.16979874716779955
3915,24,0.2210144927536232
140,30,0.36551724137931035
3128,26,0.3323076923076923
1832,40,0.29102564102564105
4569,171,0.11902304781561747
1604,25,0.12666666666666668
531,43,0.2967884828349945
6,3,0.3333333333333333
1047,37,0.26876876876876876
2280,6,0.0
8,6,0.13333333333333333
3235,324,0.05159958720330237
4162,7,0.14285714285714285
2864,449,0.014566099268215081
4245,5,0.3
2891,47,0.16003700277520813
755,13,0.07692307692307693
10,6,0.4
2574,78,0.05727605727605728
1857,91,0.04713064713064713
781,386,0.017266671152681514
1873,20,0.1368421052631579
1084,310,0.018457041444827228
11,6,0.4
4142,554,0.03495864369601974
406,255,0.05060985023930832
2847,263,0.028183322207064695
12,182,0.13338595106550907
43,39,0.340080971659919
3436,51,0.22745098039215686
2578,38,0.24182076813655762
4031,81,0.3314814814814815
2304,30,0.3586206896551724
223,95,0.17513997760358344
3162,43,0.13178294573643412
2015,65,0.1605769230769231
2318,171,0.16642586859305125
617,29,0.45320197044334976
2887,36,0.31587301587301586
2468,148,0.1821106821106821
1970,63,0.1822836661546339
194,81,0.22469135802469137
1930,41,0.10365853658536585
3072,104,0.16448842419716206
627,10,0.4222222222222222
3758,79,0.19798766634209672
904,52,0.2549019607843137
2283,289,0.05569973087274125
636,60,0.27288135593220336
1444,128,0.1140501968503937
2905,77,0.20676691729323307
3487,50,0.2783673469387755
1750,104,0.1137042569081404
784,100,0.13434343434343435
340,22,0.3116883116883117
2388,225,0.11900793650793651
1455,141,0.16605876393110436
2285,35,0.17647058823529413
916,14,0.5164835164835165
1727,28,0.4470899470899471
4078,119,0.1223472439823387
4331,234,0.09412714133744177
656,93,0.25245441795231416
87,164,0.1728265748915158
4491,19,0.27485380116959063
362,43,0.21262458471760798
3271,50,0.1853061224489796
69,79,0.15352158390133075
670,77,0.17361585782638414
2563,25,0.37333333333333335
4507,81,0.16820987654320987
1784,129,0.12657461240310078
3228,26,0.32
4105,119,0.11209229454493662
4107,56,0.1512987012987013
913,101,0.1489108910891089
1791,79,0.1450827653359299
1217,80,0.19240506329113924
2953,53,0.1625544267053701
3021,60,0.06836158192090395
1802,162,0.09922551951537459
1501,49,0.15901360544217688
1504,24,0.5217391304347826
2109,27,0.3418803418803419
3827,13,0.5
4100,41,0.2951219512195122
4443,94,0.14321665522763669
2686,110,0.14945788156797332
1234,5,0.3
2690,100,0.15676767676767678
133,13,0.4230769230769231
3259,19,0.6081871345029239
1822,313,0.0703285000409601
107,102,0.14074936905455251
2408,258,0.06168370886495943
109,175,0.07658456486042693
1523,116,0.17736131934032984
408,89,0.15526046986721145
3521,50,0.13551020408163264
2136,7,0.5714285714285714
402,95,0.17491601343784993
3855,95,0.14983202687569988
1923,28,0.25132275132275134
2850,23,0.391304347826087
4481,79,0.15417072379097696
125,21,0.3238095238095238
1254,251,0.055713147410358564
3452,84,0.08950086058519793
2432,41,0.1402439024390244
434,6,0.3333333333333333
3100,45,0.0898989898989899
3592,137,0.1894589952769429
4289,112,0.11969111969111969
1014,17,0.3602941176470588
3793,48,0.21365248226950354
1026,65,0.19663461538461538
1571,47,0.2913968547641073
4190,224,0.08876521460602178
1024,74,0.13624583487597186
457,25,0.18
55,1,0.0
2742,134,0.21512737066546964
2751,269,0.05379237640792321
1585,235,0.07743226041098382
165,85,0.13753501400560225
768,20,0.2894736842105263
770,5,0.4
1294,89,0.18360572012257406
2032,92,0.11036789297658862
1297,65,0.17259615384615384
3178,83,0.0963855421686747
4208,219,0.07460935863600185
2475,742,0.030635369264962114
1306,39,0.2968960863697706
1050,38,0.40825035561877665
182,393,0.046476605909539385
623,97,0.14690721649484537
635,16,0.2833333333333333
1902,53,0.09361393323657474
2366,13,0.3717948717948718
499,268,0.06056794678293924
3484,18,0.5098039215686274
2491,123,0.18992403038784486
1912,36,0.28888888888888886
1623,15,0.47619047619047616
4298,17,0.22058823529411764
105,112,0.16859716859716858
4238,24,0.18115942028985507
1861,32,0.2762096774193548
2506,90,0.13982521847690388
203,80,0.22025316455696203
204,49,0.29591836734693877
2218,51,0.24313725490196078
2937,20,0.3473684210526316
2221,17,0.22794117647058823
1535,79,0.1694255111976631
527,122,0.11001219346971955
215,27,0.11396011396011396
3078,128,0.10371555118110236
1085,7,0.42857142857142855
809,58,0.16394434361766486
536,72,0.13810641627543035
1940,43,0.23920265780730898
541,21,0.49523809523809526
3094,74,0.33913365420214736
1383,127,0.16147981502312211
231,39,0.24426450742240216
341,63,0.3241167434715822
1958,120,0.14789915966386555
2257,20,0.20526315789473684
2359,68,0.0697980684811238
4258,19,0.23976608187134502
1890,355,0.06305403039707169
837,71,0.0744466800804829
247,48,0.1702127659574468
4473,30,0.23448275862068965
1540,116,0.2343328335832084
1114,296,0.06481905634448007
2839,17,0.0661764705882353
3122,210,0.11569833675096833
2278,312,0.040357820100585376
3949,25,0.31
1544,24,0.14492753623188406
3252,32,0.22580645161290322
905,5,0.6
4596,142,0.028868244930576367
2046,172,0.1295389636882905
1695,89,0.1721144024514811
864,45,0.2909090909090909
13,17,0.8529411764705882
1441,121,0.19325068870523415
2164,54,0.44304682040531096
3811,108,0.19937694704049844
2546,111,0.22784602784602784
91,18,0.7712418300653595
3055,33,0.5795454545454546
4267,29,0.6773399014778325
4179,48,0.5088652482269503
2321,44,0.5486257928118393
163,33,0.6609848484848485
3635,35,0.6184873949579832
3318,33,0.42613636363636365
1048,42,0.5284552845528455
4058,29,0.6477832512315271
1007,38,0.6073968705547653
2545,41,0.5231707317073171
4377,45,0.5333333333333333
14,19,0.19298245614035087
148,33,0.24621212121212122
2375,40,0.23076923076923078
2234,30,0.1839080459770115
1826,309,0.06226621275164965
1005,16,0.26666666666666666
2140,10,0.13333333333333333
1715,335,0.057842523907409064
4155,18,0.1437908496732026
3565,66,0.10955710955710955
4647,19,0.39766081871345027
1976,210,0.06087947140578719
705,19,0.06432748538011696
159,92,0.16841853798375536
743,9,0.3611111111111111
2268,53,0.25544267053701014
419,160,0.02311320754716981
2612,9,0.3333333333333333
2816,18,0.3660130718954248
15,2,0.0
2373,10,0.24444444444444444
2613,86,0.00984952120383037
16,2,1.0
4070,71,0.03943661971830986
1152,98,0.03576688407321692
17,26,0.3292307692307692
3498,17,0.3161764705882353
68,369,0.057337692942146815
4027,15,0.2857142857142857
1560,81,0.15185185185185185
3672,57,0.2324561403508772
2591,105,0.17051282051282052
3880,54,0.129979035639413
3556,33,0.23863636363636365
4300,38,0.15789473684210525
2455,83,0.191595650896268
4600,20,0.38421052631578945
560,128,0.18639271653543307
18,11,0.21818181818181817
1515,38,0.059743954480796585
2804,143,0.08795429922190486
1502,44,0.1839323467230444
4151,240,0.10543933054393305
1093,6,0.13333333333333333
2899,19,0.2807017543859649
3572,132,0.08130927596576451
1251,38,0.12233285917496443
1381,191,0.029705152934692752
19,21,0.14285714285714285
661,22,0.10822510822510822
1921,22,0.1774891774891775
2701,46,0.17101449275362318
1667,10,0.08888888888888889
1391,32,0.20766129032258066
2940,55,0.2828282828282828
667,15,0.22857142857142856
367,97,0.09901202749140893
4365,35,0.16974789915966387
3630,52,0.18929110105580693
1210,77,0.1442241968557758
1960,30,0.20229885057471264
4532,41,0.16585365853658537
