,degree,cc
0,9,0.1388888888888889
6420,1200,0.01834306366416458
2941,3,0.0
3051,313,0.02523142459244696
5511,1500,0.014472759617522793
1020,1196,0.01599613775345993
4726,94,0.13200640585678333
5968,1666,0.014080587189830887
5543,1216,0.013790069309075156
4089,10,0.06666666666666667
6251,17,0.38235294117647056
180,115,0.11456903127383676
1712,78,0.12654012654012653
2287,5,0.2
3552,99,0.08286951144094001
4395,165,0.070509977827051
3920,317,0.06876172982470151
6148,594,0.02984311921917318
771,1695,0.016076870300522753
5208,756,0.038859105084270644
790,111,0.0914004914004914
4069,468,0.024872343930159777
4522,50,0.08816326530612245
6203,68,0.17603160667251974
4496,57,0.08270676691729323
1082,138,0.10324764624986776
5175,168,0.10143997718848018
3274,10,0.17777777777777778
2173,17,0.25735294117647056
2560,1065,0.014746372974690248
1465,47,0.1091581868640148
3623,98,0.048600883652430045
2831,11,0.2545454545454545
1115,222,0.028820675879499408
2944,5,0.4
4716,363,0.04121577401336316
4463,54,0.11390635918937805
77,566,0.017555270646361674
2,16,0.25833333333333336
5079,59,0.24663939216832262
2842,74,0.25842280636801185
475,23,0.07114624505928854
5911,143,0.1786664040185167
6454,28,0.29365079365079366
1041,70,0.11759834368530021
2856,48,0.2393617021276596
6040,109,0.2055725450220863
4059,17,0.13970588235294118
813,113,0.1861567635903919
479,279,0.06482555890771254
609,37,0.14564564564564564
6528,91,0.23516483516483516
2807,44,0.18181818181818182
1721,79,0.2213567023693606
1992,74,0.25953350610884857
3,2,0.0
412,117,0.09048040082522842
45,31,0.26021505376344084
2367,753,0.0166497132039219
996,86,0.1173734610123119
2161,2040,0.01450682283703084
4421,121,0.05647382920110193
4445,26,0.23384615384615384
6101,323,0.07301501836432514
3356,263,0.07787420543929412
3905,258,0.0762525261665611
3138,95,0.02732362821948488
2119,146,0.1276334435521965
6442,103,0.14753474205216066
327,48,0.13386524822695037
3550,611,0.026835877760188885
2650,1092,0.021098363903130173
3629,43,0.13178294573643412
4239,171,0.16167870657034744
3857,695,0.0232579354383928
2907,449,0.026447661469933183
5383,36,0.050793650793650794
5571,72,0.24882629107981222
1751,750,0.026207387627948376
3754,164,0.09658835852162202
3087,355,0.05587650194955041
4047,343,0.05119942713927676
4717,1066,0.013610619313127043
