,degree,cc
0,20,0.25263157894736843
646,746,0.013318459074797128
2510,341,0.02375366568914956
2425,706,0.02186325919675326
2596,66,0.09743589743589744
85,6,0.26666666666666666
1725,592,0.0077285407234645815
208,399,0.02148587549275198
1302,109,0.04162419300033979
3534,253,0.018382583599974904
57,121,0.033884297520661154
3948,252,0.046164548156580026
297,178,0.020567510950295183
1800,1229,0.01236406813621943
2767,60,0.09661016949152543
251,73,0.016362252663622526
907,437,0.04663783511431151
598,551,0.00867843590166639
1786,88,0.03709508881922675
1860,96,0.06644736842105263
3294,132,0.08986814712005552
1,10,0.2222222222222222
3633,107,0.047434314935637455
2535,183,0.12838527592625953
6,138,0.012588596212842484
1866,1,0.0
1276,454,0.011621009228734526
2589,35,0.08907563025210084
4082,67,0.07055630936227951
571,13,0.0
2,24,0.13405797101449277
3480,14,0.15384615384615385
1165,61,0.03224043715846994
648,31,0.12043010752688173
1560,45,0.17575757575757575
367,55,0.10437710437710437
2879,44,0.15750528541226216
344,51,0.18823529411764706
1477,40,0.05512820512820513
2567,22,0.1471861471861472
2832,30,0.09195402298850575
2777,213,0.10815838426787137
2578,16,0.15833333333333333
568,502,0.00673553291822729
3665,17,0.25735294117647056
1348,10,0.2222222222222222
3348,253,0.030836313445009096
3,192,0.009762216404886562
3754,11,0.12727272727272726
3600,16,0.1
231,19,0.0
3151,23,0.12648221343873517
4263,22,0.2597402597402597
1683,43,0.08416389811738649
3961,23,0.11462450592885376
3981,151,0.01545253863134658
2312,36,0.046031746031746035
2276,133,0.06721348826611985
3192,12,0.015151515151515152
1870,69,0.050724637681159424
1628,8,0.10714285714285714
1814,24,0.09057971014492754
895,151,0.09077262693156733
2289,13,0.16666666666666666
1787,19,0.2573099415204678
4313,111,0.03734643734643735
4,10,0.5555555555555556
1831,16,0.20833333333333334
3339,15,0.5142857142857142
1403,15,0.17142857142857143
4302,77,0.16678058783321942
1122,15,0.13333333333333333
2116,38,0.30725462304409673
1955,28,0.25132275132275134
117,48,0.2473404255319149
918,62,0.18878900052882072
475,50,0.2146938775510204
5,1,0.0
946,5,0.2
2001,31,0.210752688172043
2822,17,0.3014705882352941
2563,3,0.3333333333333333
3657,1,0.0
537,17,0.11764705882352941
3100,18,0.0392156862745098
3743,118,0.11951325510647545
2826,20,0.17894736842105263
1612,2,1.0
3112,25,0.11333333333333333
2965,87,0.1724137931034483
3364,6,0.06666666666666667
2315,83,0.1536879224213929
1093,16,0.1
146,7,0.09523809523809523
956,8,0.07142857142857142
3108,3,0.0
653,23,0.11462450592885376
1755,3,0.0
1506,30,0.11494252873563218
701,21,0.11428571428571428
3983,37,0.16816816816816818
640,16,0.45
2201,35,0.06218487394957983
1159,13,0.14102564102564102
188,16,0.06666666666666667
2610,23,0.16996047430830039
2768,48,0.06914893617021277
2464,65,0.13653846153846153
450,32,0.1310483870967742
316,5,0.1
977,16,0.15
455,29,0.11576354679802955
1682,28,0.09523809523809523
3684,99,0.20119562976705835
178,4,0.0
2472,13,0.3076923076923077
1830,24,0.06159420289855073
3849,12,0.19696969696969696
2337,12,0.15151515151515152
2070,1,0.0
261,13,0.11538461538461539
589,7,0.14285714285714285
3270,26,0.1723076923076923
1783,13,0.41025641025641024
3410,105,0.16996336996336997
3004,21,0.1380952380952381
36,47,0.09528214616096208
3141,12,0.25757575757575757
730,11,0.03636363636363636
1404,8,0.07142857142857142
1405,8,0.17857142857142858
470,2,1.0
2617,18,0.1437908496732026
3007,8,0.10714285714285714
2092,69,0.08695652173913043
1143,7,0.047619047619047616
2490,7,0.14285714285714285
4208,1,0.0
2801,73,0.16400304414003045
1958,25,0.07333333333333333
1416,28,0.17724867724867724
2233,20,0.04736842105263158
3661,9,0.05555555555555555
129,14,0.31868131868131866
3158,13,0.20512820512820512
2364,38,0.1379800853485064
1973,18,0.058823529411764705
1961,30,0.05747126436781609
3720,8,0.10714285714285714
1676,4,0.0
2241,25,0.20666666666666667
2243,236,0.03707176343310494
2896,35,0.06890756302521009
2504,44,0.048625792811839326
1520,57,0.14974937343358397
217,36,0.05555555555555555
218,23,0.2845849802371542
1022,10,0.06666666666666667
1444,9,0.027777777777777776
1024,6,0.06666666666666667
3198,13,0.1282051282051282
1295,42,0.08943089430894309
1072,9,0.027777777777777776
2646,22,0.12987012987012986
2903,23,0.16205533596837945
83,4,0.0
84,6,0.0
499,65,0.09663461538461539
1032,21,0.1380952380952381
4283,13,0.0641025641025641
3744,18,0.12418300653594772
4187,2,0.0
1322,11,0.01818181818181818
2131,6,0.06666666666666667
4120,23,0.17391304347826086
3749,7,0.09523809523809523
1181,14,0.07692307692307693
373,23,0.10276679841897234
1824,4,1.0
2746,26,0.10461538461538461
619,26,0.11076923076923077
1581,28,0.026455026455026454
3055,12,0.15151515151515152
3887,6,0.2
1190,25,0.1
1053,9,0.027777777777777776
4209,9,0.1111111111111111
3209,33,0.0625
3326,19,0.2222222222222222
2665,1,0.0
110,14,0.12087912087912088
1197,27,0.1339031339031339
1330,45,0.10909090909090909
4155,7,0.09523809523809523
2512,64,0.11011904761904762
1807,3,0.0
4224,23,0.1067193675889328
1249,27,0.1282051282051282
3841,16,0.3416666666666667
4033,17,0.08088235294117647
1864,1,0.0
1070,5,0.2
3834,18,0.0784313725490196
4066,9,0.1388888888888889
1199,42,0.140534262485482
223,12,0.09090909090909091
3644,15,0.14285714285714285
2846,5,0.2
2429,30,0.1310344827586207
3349,32,0.12298387096774194
1731,1,0.0
2170,8,0.03571428571428571
2026,54,0.18658280922431866
678,10,0.022222222222222223
7,2,0.0
1561,24,0.09057971014492754
2671,10,0.13333333333333333
8,13,0.3333333333333333
3910,98,0.09867452135493372
912,494,0.01368963053600611
3184,305,0.06512079378774806
1559,15,0.24761904761904763
1309,120,0.048179271708683476
550,21,0.14761904761904762
1034,22,0.1341991341991342
2964,146,0.11846953235710912
